title,description,brand,asin,image,rating,nReviews,keywords
"UTG 1""/2PCs Medium Profile Airgun Rings w/Stop Pin","['AccuShot Premium Airgun/.22 Ring Mid-Profile for 1"" Scope up to 45mm Obj, 4 screws']",AccuShot,B001WJ4TKK,"['https://images-na.ssl-images-amazon.com/images/I/41QW%2BvOB14L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51PhKBkBCFL._SS40_.jpg']",5.0,5.0,"['profile', 'w', 'accushot', 'medium', 'utg', 'airgun', 'obj', 'mm', 'premium', 'ring', 'mid', 'screws']"
SHIMANO M530 Enduro SPD Pedals White 2016,"['the m530 is one of the mountain pedals used by combining the reliability and performance of the spd system with an oversized platform. its excellent relationship between quality and price make it a pedal very competitive, suitable for all types of cyclists and intensities of use. features:-very competitive price. -integrated box which increases the stability. -anchoring protection against impacts. -good repellency of mud and dirt. -anchoring and adjustable release tension. -low maintenance. -quality shimano. -weight: 455 g.-include coves.']",SHIMANO,B004V3Z4NA,['https://images-na.ssl-images-amazon.com/images/I/51PDPHDAEUL._SS40_.jpg'],5.0,4.0,"['box', 'performance', 'mountain', 'protection', 'quality', 'price', '-anchoring', 'types', 'm530', 'mud', 'platform', 'tension', 'impacts', 'release', 'cyclists', 'g.-include', '-integrated', 'suitable', 'pedals', 'use', 'white', 'intensities', 'adjustable', 'excellent', 'features:-very', 'enduro', 'shimano', 'spd', 'pedal', 'system', 'maintenance', 'coves', '-quality', 'reliability', 'repellency', 'competitive', 'dirt', 'stability', 'oversized', 'relationship']"
"Nordic Lifting Wrist Wraps Super Heavy Duty (1 Pair/2 Wraps) 24"" Support for Weight Lifting | Powerlifting | Gym | Cross Training- Weightlifting Thumb Loop - Men & Women 1 Year Warranty","['SUPER HEAVY DUTYH WRIST WRAPS With 24"" Length From Nordic Lifting - For the Heaviest Lifters    Nordic Lifting Offers Premium Accessories for Weightlifting Workouts  - Wrist Wraps made of Super Durable Cotton with Elastic Support (3"" width x 24"" length) - Extra Large Velcro for Optimal Stability - Includes Reinforced Thumb Loop for Easy Wrapping - One size fits all (Both men and women)    Who are the Super Heavy Duty Wrist Wraps designed for?   Extremely heavy lifters  Powerlifting, Strongman and Weight Lifting competitors  Anyone else that seeks the best possible wrist support    Wrist Wraps Functionality    Support and stability during heavy lifting  Helps avoid wrist injuries  Advisable to use for bench press, shoulder press, powerlifting, Olympic lifts and other fitness activity    Inside Package    1 Pair of Wrist Wraps (2 Wraps)  Instructional on ""How to Use Wrist Wraps""  Comes in Nordic Lifting Signature Packaging   Our Guarantee  We are so confident in our Nordic Lifting weight lifting accessories that we offer a 1 Year Manufacturer\'s Warranty.   Click the Add to Cart Button at the Top of this Page to Protect Your Wrists Now!']",Nordic Lifting,B00LZFLS4Q,"['https://images-na.ssl-images-amazon.com/images/I/414%2BaGT34iL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41-RgPv0gQL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41qk-AM7rWL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510ysDAc2nL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51e-wdl7RIL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51sDM6tHm7L._SS40_.jpg']",5.0,4.0,"['guarantee', 'gym', 'easy', 'durable', 'lifters', 'workouts', 'confident', 'press', 'manufacturer', 'olympic', 'advisable', 'page', 'wrapping', 'wraps', 'elastic', 'optimal', 'premium', 'strongman', 'package', 'length', 'best', 'powerlifting', 'functionality', 'super', 'pair', 'instructional', 'size', 'competitors', 'bench', 'shoulder', 'weight', 'heaviest', 'injuries', 'cross', 'accessories', 'wrists', 'add', 'lifts', 'duty', 'thumb', 'year', 'cotton', 'wrist', 'loop', 'packaging', 'lifting', 'extra', 'training-', 'weightlifting', 'velcro', 'button', 'support', 'men', 'possible', 'fitness', 'pair/2', 'heavy', 'width', 'nordic', 'warranty', 'large', 'stability', 'women', 'signature', 'dutyh', 'activity']"
Chums No Tail Adjustable Eyewear Retainer,"['Chums No Tail Adjustable Eyewear Retainer includes an intense, active sports like kayaking and climbing require a secure retainer that fits under a helmet. This sunglass strap is perfect for those who prefer their CHUMS without a tail. Great for activities that require helmets it has a similar fit and feel.']",Chums,B003CJWRE8,"['https://images-na.ssl-images-amazon.com/images/I/219xNQ84nwL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41NiUjbI2TL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41xkncRXykL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41G5d4Ur3qL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41j3z0s4AXL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21s8ypKAAsL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ed5AdtqXL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41xyDkn84AL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/417kzg9IaLL._SS36_.jpg']",5.0,6.0,"['eyewear', 'retainer', 'fit', 'sunglass', 'tail', 'great', 'helmets', 'helmet', 'perfect', 'chums', 'adjustable', 'activities', 'active', 'intense', 'similar', 'climbing', 'strap', 'sports', 'kayaking', 'secure']"
Optical Corrective Scuba Dive Snorkeling Mask Prescription Lenses,"['', 'The Promate Scope Mask is ideal for medium faces which facial seal size Width 4-1/2 * Height 3-3/8. It features crystal, liquid silicone injected skirt and strap, double edge comfort seal, low volume. Plus, prescription (Rx) lens is available in our product line for this model. Rx lens will be installed in the mask by our trained techanician.', 'Corrective lens is designed for off-the-shelf correction. Lens is not for who has complicated vision problems such as astigmatism (correction needed for both near and far away) or multi-vision. Should you have other questions you may contact us.', 'The upper part of the biofocal lens is generally used for distance vision (NO PRESCRIPTION,) while the lower part is used for near vision with adjustment power for close-up work. A segment line separates the two section for bifocal lens type. By contrast, both farsightedness and nearsightedness are single vision which has the same optical focal point or correction over the entire area of the lens.', 'Tempered glass is a type of safety glass processed by controlled thermal or chemical treatments to increase its strength. Tempering creates balanced internal stresses which cause the glass, when broken, to crumble into small granular chunks instead of splintering into jagged shards. The granular chunks are less likely to cause injury.']",Promate,B003CMOZ68,"['https://images-na.ssl-images-amazon.com/images/I/41Z1jfNZ8TL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51g77a4Xj6L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Q5yFtdTPL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51257fs57eL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41YqK2t5hKL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51TKW6ssehL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Z7Uf7jW2L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41EgKKndfwL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Csxe9HXlL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41gWud6zttL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51TPnLlJkcL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51GsQpy4PtL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ZfXK0erEL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41i0c-giv8L._SS36_.jpg']",5.0,5.0,"['problems', 'adjustment', 'promate', 'silicone', 'distance', 'single', 'corrective', 'focal', 'likely', 'safety', 'lens', 'internal', 'section', 'mask', 'medium', 'nearsightedness', 'contrast', 'volume', 'entire', 'dive', 'bifocal', 'faces', 'type', 'height', 'point', 'scope', 'facial', 'area', 'edge', 'product', 'glass', 'line', 'crystal', 'multi', 'astigmatism', 'thermal', 'segment', 'liquid', 'near', 'prescription', 'snorkeling', 'lower', 'questions', 'tempered', 'skirt', 'techanician', 'seal', 'ideal', 'upper', 'size', 'small', 'balanced', 'optical', 'stresses', 'shards', 'available', 'tempering', 'scuba', 'lenses', 'low', 'double', 'farsightedness', 'chemical', 'injury', 'work', 'rx', 'correction', 'jagged', 'power', 'treatments', 'model', 'chunks', 'comfort', 'biofocal', 'strap', 'shelf', 'vision', 'granular', 'strength']"
"Caldwell Stable Table with 360 Degree Rotation and Weatherproof Synthetic Top for Outdoor Shooting, Hunting and Cleaning","['The Stable Table is purpose-built to be the finest value-priced shooting bench on the market. The tripod design is more rigid and has fewer joints than folding-style benches and is appropriate for a wider variety of shooting conditions. The central shaft, seat and tabletop all pivot allowing the user to make shots at any angle from a single setup  ideal for varmint hunting. The Stable Table breaks down into seven pieces and weighs a total of 60 pounds.']",Caldwell,B00162PRPY,"['https://images-na.ssl-images-amazon.com/images/I/41q3ptwEgBL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/512z2fFbSHL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51O%2BaVnu9YL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61vctNl6yFL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51oF5mxtgoL._SS40_.jpg']",5.0,5.0,"['purpose', 'user', 'design', 'outdoor', 'degree', 'tabletop', 'folding', 'setup', 'market', 'synthetic', 'tripod', 'angle', 'single', 'wider', 'total', 'finest', 'stable', 'rigid', 'shooting', 'ideal', 'pounds', 'bench', 'conditions', 'rotation', 'fewer', 'table', 'shots', 'seat', 'central', 'varmint', 'shaft', 'style', 'pieces', 'caldwell', 'value', 'benches', 'weatherproof', 'appropriate', 'variety', 'hunting', 'joints']"
The Fish Grip Glow in The Dark Fish Lip Gripper Handheld,"[""The United Plastics Fish Grip is a new fish landing device developed by an expert angler and used by many fishing guides. The product will help any fisherman successfully land a fish with less chance of injury either to the fisherman or to the fish, which may be released. Made of plastic and stainless steel you can be assured this product will last many fishing trips. The unique jaw design of the United Plastics Fish Grip can hold a fish up to 50-Pounds. The product comes with a lanyard so the fisherman can keep the grip close while fishing. If you happen to lose the grip overboard don't worry, this grip will float. Just attach to a scale and deduct 5-ounces. This model glows in the dark so you can add it to your night fishing arsenal. It also floats if lost in the water. United Plastics has been a leader in the manufacturing of quality plastic products since 1946. We supply flexible, rigid and dual durometer profiles, PVC cellular foam profiles, flexible sheet and roll goods for the construction, automotive, furniture and many other industries.""]",The Fish Grip,B004CGD4HE,['https://images-na.ssl-images-amazon.com/images/I/31ol5VUuJoL._SS40_.jpg'],5.0,4.0,"['chance', 'lanyard', 'durometer', 'construction', 'design', 'close', 'quality', 'profiles', 'goods', 'fishing', 'products', 'automotive', 'furniture', 'device', 'unique', 'handheld', 'injury', 'water', 'manufacturing', 'dual', 'flexible', 'rigid', 'expert', 'steel', 'foam', 'product', 'dark', 'night', 'plastics', 'landing', 'fish', 'trips', 'fisherman', 'united', 'arsenal', 'stainless', 'jaw', 'new', 'grip', 'lip', 'industries', 'scale', 'model', 'sheet', 'plastic', 'leader', 'roll', 'angler', 'cellular', 'guides', 'gripper', 'pvc']"
Jaeger Sports Exercise Baseball/Softball J-Bands,"['The J-Band is a great tool for creating and maintaining arm strength in or out of season. This rotator cuff exercise program is the key to preventing arm injuries while promoting arm health, strength, endurance and recovery period.']",Jaeger Sports,B00NM14QEK,"['https://images-na.ssl-images-amazon.com/images/I/41EoVMBSLkL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41vdZ0SLWlL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/413aWrcQ1YL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ZXajLCbUL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41NkQvq0I6L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31uLEkllXFL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51NbrgkQm-L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51bqgVZpFGL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Pz13Yep1L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510rsEximYL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415Yb2f8mvL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/511l5bjoy5L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ba%2BmaPVYL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41sw-dnn%2BOL._SS36_.jpg']",5.0,7.0,"['key', 'jaeger', 'softball', 'bands', 'tool', 'great', 'baseball', 'j', 'period', 'season', 'band', 'program', 'arm', 'injuries', 'endurance', 'rotator', 'recovery', 'health', 'exercise', 'sports', 'strength', 'cuff']"
Wilson NFL Super Grip Football,"[""Football is a game of will. Take hold of the game with the NFL Supergrip. Made with a high-performance composite material, this football offers the ideal blend of durability, grip and performance worthy of the official NFL logo and the game's best players; whatever league they play in.""]",Wilson,B0012SNLJG,"['https://images-na.ssl-images-amazon.com/images/I/51IiUpZ8AKL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61umi0tg1cL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Ri8TlVYFL._SS40_.jpg']",5.0,11.0,"['players', 'performance', 'high', 'blend', 'logo', 'wilson', 'best', 'composite', 'supergrip', 'worthy', 'durability', 'super', 'ideal', 'game', 'official', 'material', 'hold', 'grip', 'football', 'league', 'nfl']"
ASICS Unisex Cushion Low Cut,"['This plush low cut features a cloud-like feel, providing the performance and extra breathability any active athlete requires.']",ASICS,B00NQYTXXW,"['https://images-na.ssl-images-amazon.com/images/I/51TlvB%2BLe-L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415ohcqeiUL._SS36_.jpg']",5.0,9.0,"['asics', 'cloud', 'like', 'performance', 'athlete', 'plush', 'cushion', 'low', 'cut', 'feel', 'active', 'breathability', 'unisex', 'extra']"
