title,description,brand,asin,image,rating,nReviews,keywords
"gofanco Gold Plated 10 Feet Mini DisplayPort to DVI Adapter Cable - Thunderbolt MALE to MALE for MacBook, Mac Mini, Microsoft Surface Pro, Google Chromebook Pixel, and Mini DisplayPort laptops","['', 'gofanco 10ft Mini DisplayPort to DVI Adapter Cable  connects Mini DisplayPort compatible devices such as Apple MacBooks, and Microsoft Surface tablets, Ultrabooks and laptops with a Mini DisplayPort output to DVI equipped monitors, displays and HDTVs. It can support displays of up to 1080p HDTV or 1920 x 1200 PC graphics and is ideal for your office, home entertainment display, conference rooms, and more.', 'Connectors  - Input: 20-pin Mini DisplayPort / Thunderbolt Port, Male  - Output: 24+1-pin DVI-D Single Link, Male', 'Specifications  - PC resolution supported: 800x600, 1024x768, 1280x768, 1280x800, 1280x960, 1280x1024, 1440x900, 1600x1200, 1680x1050 @60Hz, 1920x1080 @60Hz, 1920x1200 @60Hz  - HDTV resolution supported: 480i, 576i, 480p, 576p, 1080i and 1080p @60Hz  - Chipset: LT8611  - Bandwidth: Up to 1.65Gbps per channel (4.95Gbps all channels)  - Audio: None  - Length: 3ft', 'Compatible Devices (Current Known Devices)  - Apple MacBook, MacBook Pro, MacBook Air, iMac, Mac mini, Mac Pro  - Microsoft Surface Pro/Pro 2/Pro 3/Pro 4, Surface 3, Surface Book (NOT Surface/Surface 2)  - Lenovo ThinkPad X1 Carbon, X230/240s, L430/440, L530/540, T430/440, T440s, T440p, T530/540p, W530/540, Helix  - Dell XPS 13/14/15/17, Latitude E7240/E7440, Precision M3800  - Alienware 14/17/18  - Acer Aspire R7  - Intel NUC  - Asus Zenbook UX303LA/UX303LN  - HP Envy 14/17  - Google Chromebook Pixel  - Cyberpower Zeusbook Edge X6-100/X6-200  - Toshiba Satellite Pro S500, Tecra M11/A11/S11  - Other major branded laptops   Note:  Not compatible with Thunderbolt 3 (USB-C) ports', ""What's in the Package  - 10ft Mini DisplayPort to DVI Adapter Cable - Black"", 'Warranty & Support  - Limited One-Year Warranty and Lifetime Product Support']",gofanco,B00OMEBJD2,"['https://images-na.ssl-images-amazon.com/images/I/410Nr8t1SJL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/411AB1qBtnL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41J4ErSAMgL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41vEokUyCQL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41WrGLo8MAL._SS40_.jpg']",5.0,5.0,"['bandwidth', 'alienware', 'helix', 'office', 'thunderbolt', 'r7', 'pc', 'aspire', 'input', 's500', 'precision', 'black', 'hdtv', 'port', 'book', '576i', 'air', 'x230/240s', 'm3800', 't430/440', 'channels', 'acer', 'devices', 'edge', 'tecra', '576p', 'chipset', 'hdtvs', 't530/540p', 'dell', 'warranty', 'year', 'google', 'x1', 'macbook', '480i', 'a11', 'd', 'displayport', 'laptops', 'satellite', '1920x1200', 'ultrabooks', 'length', 'compatible', 'envy', 'mini', 'audio', 'usb', 'x6', 'resolution', 'l530/540', 'c', 'gofanco', '1680x1050', 'current', 'package', 'm11', 'conference', 'toshiba', 'display', 'cyberpower', 'surface', 'lt8611', 'feet', '1920x1080', 'graphics', 'lifetime', 'ports', 'e7440', 'asus', 'lenovo', 'carbon', 'output', 'ux303la', 'nuc', 'latitude', 'ideal', 'gold', 'support', '1280x1024', 'mac', 'pixel', 'zeusbook', 'pro', 'l430/440', 'adapter', 'apple', 'hp', 'chromebook', 'xps', 'major', '@60hz', 'tablets', 'male', 'intel', 'thinkpad', '480p', 'product', 'w530/540', 'dvi', 'macbooks', 'e7240', 'connectors', 't440p', 'specifications', 'imac', '1600x1200', 'ft', 'monitors', 'displays', 'link', 'single', 'microsoft', 'zenbook', 'entertainment', '14/17/18', 'channel', 'cable', 'rooms', 'home', 'note', 'ux303ln']"
"Samsung Galaxy Tab 4 10.1 Case, SUPCASE[Unicorn Beetle PRO Series]case for Galaxy Tab 4 10.1 Tablet (SM-T530/T531/T535) Full-body Rugged Hybrid Protective Cover with Built-in Screen Protector (BLK)","[""Compatibility: Compatible with Samsung Galaxy Tab 4 10.1 Tablet (2014 Release), allowing full access to touchscreen, camera, buttons, and ports. NOT COMPATIBLE with Samsung Galaxy Tab 4 7.0, 8.0 or any other Samsung models. Materials: High grade polycarbonate + thermoplastic polyurethane for shock absorption. Front cover with built-in screen protector prevents scratches without compromising sensitivity. Design: Designed with both protection and looks in mind, SUPCASE Unicorn Beetle PRO Series Full-body Hybrid Case provides shock absorption and scratch prevention while maintaining a sporty profile. - Advanced front cover design for easy installation - Built-in screen protector without compromising sensitivity - Advanced dual-layer (PC + TPU) design provides great impact and shock resistance and prevents accidental drop, bump, and shock - Port cover keeps out debris and dust - Easy access to all features (buttons, camera, speaker, and ports) - Sporty profile and multiple color options What's in the package? 1x SUPCASE Unicorn Beetle PRO Case""]",SUPCASE,B00LGZ8ELK,"['https://images-na.ssl-images-amazon.com/images/I/51lRy2LIeNL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51oe5tdICyL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51rNC4rHbNL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/6187PgwxdaL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61kzILhtJ%2BL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/412FbJgQAdL._SX38_SY50_CR,0,0,38,50_.jpg']",5.0,5.0,"['polycarbonate', 'bump', '1x', 'impact', 'sm', 'mind', 'grade', 'ports', 't530', 'design', 'tablet', 'access', 'series]case', 'scratches', 'thermoplastic', 'polyurethane', 'dust', 'scratch', 'release', 'body', 'rugged', 'absorption', 'tab', 'pc', 'features', 'speaker', 'tpu', 'protector', 'dual', 'buttons', 'blk', 'compatible', 'unicorn', 'options', 'beetle', 'supcase', 'hybrid', 'high', 'accidental', 'port', 'easy', 'protection', 'compatibility', 'profile', 'models', 'color', 'installation', 'resistance', 'sensitivity', 'galaxy', 'great', 'advanced', 'sporty', 'layer', 'multiple', 'pro', 'case', 'cover', 'drop', 'camera', 'prevention', 'supcase[unicorn', 't531', 'package', 'touchscreen', 'series', 'samsung', 'debris', 'protective', 'materials', 'shock', 'screen']"
LQM New Laptop Battery For Apple MacBook 13 inch A1280 A1278 (2008 Version) MB771G/A MB467LL/A MB466LL/A,"['Notice: 1Please check your battery part number or laptop model to ensure you are getting the correct battery for your laptop. If you are not sure about the compatibility of this item or need help finding out the part number you need, feel free to email us through Amazon before placing your order. 2This battery only works with laptops made in 2008, you will need a built-in battery if your laptop was manufactured in 2009 2010 2011 2012 or later.  Color:silver  Type: Li-Ion  Voltage: 10.8V  Capacity: 45Wh  Compatible Models:  Apple MacBook 13"" A1278 Battery  Apple MacBook 13"" Aluminum Unibody Series Battery (2008 Version)  Apple MacBook 13"" MB466*/A Battery  Apple MacBook 13"" MB466CH/A Battery  Apple MacBook 13"" MB466J/A Battery  Apple MacBook 13"" MB466LL/A Battery  Apple MacBook 13"" MB466X/A Battery  Apple MacBook 13"" MB467*/A Battery  Apple MacBook 13"" MB467CH/A Battery  Apple MacBook 13"" MB467J/A Battery  Apple MacBook 13"" MB467LL/A Battery  Apple MacBook 13"" MB467X/A Battery  12 months warranty For the new battery , we suggest that all of our customer should full charge it by AC power adapter ,because takes a long period, the capacity was strain out by inner PCB circuit, in order to protect your battery life,you can full charge to 100% and drain to 1% 2 times,then the capacity will recover.']",LQM,B00WJSK2BS,"['https://images-na.ssl-images-amazon.com/images/I/41UDctnJ3wL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/319f5O15RTL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31OmT2S6cAL._SS40_.jpg']",5.0,5.0,"['amazon', 'circuit', 'warranty', 'mb466*/a', 'mb467j', 'aluminum', 'order', 'mb467x', 'macbook', 'silver', 'mb466ch', 'a1278', 'unibody', 'life', 'charge', 'mb467*/a', 'mb467ch', 'long', 'mb467ll', 'laptops', 'free', 'model', 'a1280', 'ion', 'mb466ll', 'correct', 'period', 'laptop', 'notice', 'lqm', 'ac', 'item', 'compatible', 'version', 'months', 'battery', 'inch', 'sure', 'li', 'inner', 'mb466j', 'color', 'compatibility', 'models', 'new', 'help', 'power', 'voltage', 'type', 'mb466x', 'drain', 'capacity', 'series', 'customer', 'apple', 'adapter', 'number', 'times', 'strain', 'mb771g', 'pcb']"
Ballistix Tactical 4GB Single DDR3 1600 MT/s (PC3-12800) UDIMM 240-Pin Memory - BLT4G3D1608DT1TX0,['BLT4G3D1608DT1TX0 is a single 4GB DDR3 Performance module that operates at speeds up to 1600 MT/s and has a CL8 latency with extended timings of 8-8-8-24. It is Performance and is non-ECC. It conforms to the industry standard UDIMM layout of 240 pins and is compatible with computers that take DDR3 UDIMM memory.'],Ballistix,B006YG96G8,"['https://images-na.ssl-images-amazon.com/images/I/41%2B9iVlND1L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51cm5OzEkeL._SS40_.jpg']",5.0,6.0,"['industry', 'module', 'timings', 'pins', 'layout', '12800', 'gb', 'blt4g3d1608dt1tx0', 'cl8', 'memory', 'compatible', 's', 'ballistix', 'computers', 'single', 'ecc', 'non', 'pc3', 'speeds', 'performance', 'mt', 'extended', 'standard', 'ddr3', 'tactical', 'latency']"
Corsair 8GB Flash Survivor USB 2.0 Flash Drive CMFUSBSRVR-8GB,"['p The Corsair Flash Survivor is an extremely durable, water resistant, drop-tested flash USB memory drive. By design it is perfect for transporting valuable data such as personal files, photos and applications without having to worry about damage or loss of data due to the elements. /p']",BOZI9,B000WJTENI,"['https://images-na.ssl-images-amazon.com/images/I/31ypktUU7uL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Dw3I-Nu2L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/416Rw35xLfL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ECLKla4PL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41HWHue2AFL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41QpkbCVrOL._SS40_.jpg']",5.0,11.0,"['durable', 'design', 'elements', 'damage', 'resistant', 'cmfusbsrvr-8', 'gb', 'survivor', 'files', 'memory', 'flash', 'usb', 'data', 'water', 'photos', 'valuable', 'applications', 'drop', 'corsair', 'loss', 'drive', 'personal', 'perfect']"
Lexar High-Performance MicroSDHC 300x 16GB UHS-I/U1 w/Adapter Flash Memory Card (old packaging) LSDMI16GBBNL300A,['Lexar High-Performance MicroSDHC 300x 16GB UHS-I/U1 w/Adapter Flash Memory Card'],Lexar,B00IF4OE78,"['https://images-na.ssl-images-amazon.com/images/I/41krE7lk2QL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51KYCZ9iWNL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LGaWFFfiL._SS40_.jpg']",5.0,6.0,"['u1', 'gb', 'w', 'flash', 'high', 'lexar', 'old', 'card', 'adapter', 'uhs', '300x', 'lsdmi16gbbnl300a', 'memory', 'microsdhc', 'performance', 'packaging']"
Sennheiser OfficeRunner Convertible Wireless Office Headset with Microphone - DECT 6.0 (Classic Silver),"['The OfficeRunner is the top of the line wireless office headset offered by Sennheiser, offering an upgrade in sound quality, range and comfort over Plantronics CS540 or other CS Series headsets and Jabra headsets.', 'WIRELESS OFFICE HEADSET FEATURES  400 Foot Range 12 Hour Talk Time Best Quality Wireless Headset', 'BEST LONG RANGE WIRELESS OFFICE HEADSET  The OfficeRunner wireless office headset lets you talk on the telephone comfortably up to 400 feet away from your desk phone or PC with its long range wireless capability.', 'PREMIUM SOUND QUALITY AND PERFORMANCE WIRELESS HEADSET  The OfficeRunner wireless office headset has amazing sound and crystal clear noise-reduction microphones that make it one of the best wireless headsets for use with most phone systems', ""WIRELESS OFFICE HEADSETS PHONE COMPATIBILITY  The OfficeRunner is guaranteed compatible with 98% of corded office phones.  Certified for use with softphones from Cisco, Avaya, Microsoft, etc.  It's compatible with VoIP services like Skype, Google Voice, and GoToMeeting just to name a few. With an excellent Speech recognition mic it is also a great option for Dragon Voice Dictation and other programs like it.  Works out of the box, simply charge the headset and go!"", 'THE BENEFITS OF WIRELESS OFFICE HEADSETS  At 0.78 ounces, the OfficeRunner is a light weight wireless headset that can improve productivity up to 43% as well as help your posture while reducing neck and back pain in comparison to hand held devices.', 'WIRELESS OFFICE HEADSETS WEARING STYLES  With our wireless office headset you can choose between two versatile wearing styles: over-the-head or on-the-ear headsets.', 'The bottom line is that the OfficeRunner wireless headset is the best wireless office headset on Amazon so buy today and enjoy it tomorrow!']",Sennheiser,B003VKVXF2,"['https://images-na.ssl-images-amazon.com/images/I/41-wyPRDszL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/412BXh5G9oL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41C40DM2RnL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51SsCENTtcL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51hCaKIBLIL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41yypoD%2BIKL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41lWyzBigLL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41z35IgpTVL._SS36_.jpg']",5.0,5.0,"['systems', 'office', 'dragon', 'light', 'wearing', 'long', 'pc', 'option', 'amazing', 'sound', 'microphones', 'ounces', 'best', 'versatile', 'programs', 'dictation', 'reduction', 'devices', 'phones', 'speech', 'avaya', 'google', 'convertible', 'silver', 'clear', 'telephone', 'voip', 'foot', 'compatible', 'jabra', 'line', 'compatibility', 'use', 'classic', 'microphone', 'neck', 'headsets', 'dect', 'amazon', 'feet', 'noise', 'skype', 'mic', 'weight', 'box', 'quality', 'premium', 'plantronics', 'corded', 'recognition', 'hour', 'talk', 'capability', 'tomorrow', 'phone', 'officerunner', 'voice', 'today', 'cs540', 'cs', 'upgrade', 'posture', 'crystal', 'time', 'pain', 'cisco', 'styles', 'productivity', 'wireless', 'head', 'comparison', 'sennheiser', 'softphones', 'microsoft', 'ear', 'great', 'benefits', 'performance', 'services', 'series', 'comfort', 'desk', 'range', 'excellent', 'headset']"
"Logitech MX Master Wireless Mouse – High-precision Sensor, Speed-adaptive Scroll Wheel,  Thumb Scroll Wheel, Easy-Switch up to 3 Devices","['MX Master wireless mouse is the flagship mouse from Logitech designed for power users. This high-end product offers comfortable hand-sculpted contour, stunning design and advanced features, and is optimized for Windows and Mac.']",Logitech,B00TZR3WRM,"['https://images-na.ssl-images-amazon.com/images/I/31OaPNn3h-L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41zTRuH9K7L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41D%2B3w-yskL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31wDFiIu6iL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31WpW-QCmeL._SS40_.jpg']",5.0,5.0,"['comfortable', 'logitech', 'design', 'master', 'end', 'product', 'users', 'wireless', 'sensor', 'flagship', 'mx', 'features', 'thumb', 'precision', 'speed', 'high', 'easy', 'mac', 'mouse', 'power', 'wheel', 'adaptive', 'windows', 'devices', 'stunning', 'scroll', 'hand', 'contour', 'advanced']"
"Logitech Z906 5.1 Surround Sound Speaker System - THX, Dolby Digital and DTS Digital Certified","['Logitech Surround Sound Speaker System Z906. Hear every detail, all around you - in theater-quality 5.1 sound.']",Logitech,B004M18O60,"['https://images-na.ssl-images-amazon.com/images/I/31g-T4hiNGL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51J3PrsVoXL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51JKFMFy4eL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41zwlFq1ClL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41I8OoMnnoL._SS40_.jpg']",5.0,7.0,"['dts', 'theater', 'dolby', 'logitech', 'quality', 'speaker', 'detail', 'sound', 'system', 'digital', 'z906']"
Samsung 850 EVO V-NAND 1TB Solid State Drive mSATA (MZ-M5E1T0),"['What is 3D V-NAND and how does it differ from existing technology? Samsungs unique and innovative 3D V-NAND flash memory architecture is a breakthrough in overcoming the density limitations, performance and endurance of todays conventional planar V-NAND architecture. 3D V-NAND stacks 32 cell layers vertically over one another rather than decreasing cell dimensions and trying to fit itself onto a fixed horizontal space. As a result, the technology provides higher density and better performance utilising a smaller footprint. Optimise computing with TurboWrite technology for unrivalled read / write speeds. Achieve ultimate read / write performance to maximise your everyday computing experience with Samsungs TurboWrite technology. Compared to the 840 EVO, the 850 EVO shows an increased overall user experience of approximately 13%, partly thanks to the now 2x faster random write speeds The 850 EVO delivers top-notch performance in its class, with sequential read and write speeds of 540 MB/s and 520 MB/s, respectively. Enjoy optimised random performance in all Queue Depths (QD) for client PC usage scenarios. Increase memory storage with RAPID mode. The Samsung 850 EVO mSATA is a speed machine. With the latest Samsung Magician software, you can activate the RAPID mode to tap unused PC memory (DRAM) and use it as cache storage up to 25 percent of the total DRAM capacity. With the dramatic increase in storage, data processing speeds and random QD can be up to 2x faster under the RAPID mode. Endurance and reliability bolstered by 3D V-NAND technology. Through improving performance by up to 30%, the 850 EVO allows sustained performance making it one of the most dependable storage solutions. Energy efficiency backed by 3D V-NAND. The 850 Evo introduced the 2 mW device sleep mode', '5 Years/150TBW']",Samsung,B00TGIVRYU,"['https://images-na.ssl-images-amazon.com/images/I/511LnpqWihL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jzARinh4L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31wBovXsFRL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41W%2BVIth-JL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/418j3AHfbZL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41rcYCPRI6L._SS40_.jpg']",5.0,7.0,"['cache', 'reliability', 'result', 'footprint', 'state', 'pc', 'storage', 'mw', 'density', 'unique', 'write', 'limitations', 'class', 'architecture', 'endurance', 'evo', 'random', 'device', 'queue', 'unused', 'todays', 'thanks', 'processing', 'stacks', 'overall', 'client', 'unrivalled', 'sustained', 'energy', 'usage', 'msata', 'mb', 'mz', 'breakthrough', 'notch', 'horizontal', 'efficiency', 'experience', 'drive', 'read', 'rapid', 'sleep', 'depths', 'cell', 'conventional', 'layers', 'nand', 'sequential', 'memory', 'machine', 'space', 'higher', 'speed', 'latest', 'solutions', 'dimensions', 'solid', 'tb', 'dram', 'planar', 'dramatic', 'software', 'dependable', 'ultimate', 'capacity', '3d', 'percent', 'total', 'increase', 'computing', 'm5e1t0', 'v', 'everyday', 'years/150tbw', 's', 'user', 'flash', 'smaller', 'qd', 'technology', 'data', 'innovative', 'speeds', 'magician', 'performance', 'scenarios', 'samsungs', 'mode', 'better', 'turbowrite', 'samsung']"
