title,description,brand,asin,image,rating,nReviews,keywords
"UTG 1""/2PCs Medium Profile Airgun Rings w/Stop Pin","['AccuShot Premium Airgun/.22 Ring Mid-Profile for 1"" Scope up to 45mm Obj, 4 screws']",AccuShot,B001WJ4TKK,https://images-na.ssl-images-amazon.com/images/I/71gkcA49C1L._AC_SY450_.jpg,5.0,5.0,"['utg', 'accushot', 'airgun', 'profile', 'w', 'premium', 'ring', 'obj', 'screws', 'mid', 'mm', 'medium']"
SHIMANO M530 Enduro SPD Pedals White 2016,"['the m530 is one of the mountain pedals used by combining the reliability and performance of the spd system with an oversized platform. its excellent relationship between quality and price make it a pedal very competitive, suitable for all types of cyclists and intensities of use. features:-very competitive price. -integrated box which increases the stability. -anchoring protection against impacts. -good repellency of mud and dirt. -anchoring and adjustable release tension. -low maintenance. -quality shimano. -weight: 455 g.-include coves.']",SHIMANO,B004V3Z4NA,https://images-na.ssl-images-amazon.com/images/I/416hYk8%2BDTL._AC_SY450_.jpg,5.0,4.0,"['system', 'm530', 'shimano', '-integrated', 'excellent', 'stability', 'pedals', 'spd', 'competitive', 'adjustable', '-anchoring', 'use', 'maintenance', '-quality', 'oversized', 'price', 'pedal', 'protection', 'performance', 'repellency', 'impacts', 'cyclists', 'g.-include', 'dirt', 'enduro', 'relationship', 'box', 'platform', 'mountain', 'coves', 'mud', 'reliability', 'release', 'types', 'suitable', 'features:-very', 'tension', 'white', 'quality', 'intensities']"
"Nordic Lifting Wrist Wraps Super Heavy Duty (1 Pair/2 Wraps) 24"" Support for Weight Lifting | Powerlifting | Gym | Cross Training- Weightlifting Thumb Loop - Men & Women 1 Year Warranty","['SUPER HEAVY DUTYH WRIST WRAPS With 24"" Length From Nordic Lifting - For the Heaviest Lifters    Nordic Lifting Offers Premium Accessories for Weightlifting Workouts  - Wrist Wraps made of Super Durable Cotton with Elastic Support (3"" width x 24"" length) - Extra Large Velcro for Optimal Stability - Includes Reinforced Thumb Loop for Easy Wrapping - One size fits all (Both men and women)    Who are the Super Heavy Duty Wrist Wraps designed for?   Extremely heavy lifters  Powerlifting, Strongman and Weight Lifting competitors  Anyone else that seeks the best possible wrist support    Wrist Wraps Functionality    Support and stability during heavy lifting  Helps avoid wrist injuries  Advisable to use for bench press, shoulder press, powerlifting, Olympic lifts and other fitness activity    Inside Package    1 Pair of Wrist Wraps (2 Wraps)  Instructional on ""How to Use Wrist Wraps""  Comes in Nordic Lifting Signature Packaging   Our Guarantee  We are so confident in our Nordic Lifting weight lifting accessories that we offer a 1 Year Manufacturer\'s Warranty.   Click the Add to Cart Button at the Top of this Page to Protect Your Wrists Now!']",Nordic Lifting,B00LZFLS4Q,https://images-na.ssl-images-amazon.com/images/I/91xQiHDtJnL._AC_SX425_.jpg,5.0,4.0,"['fitness', 'gym', 'duty', 'loop', 'velcro', 'cross', 'lifts', 'activity', 'instructional', 'powerlifting', 'cotton', 'lifters', 'stability', 'heavy', 'wrapping', 'easy', 'width', 'injuries', 'packaging', 'premium', 'wrist', 'best', 'button', 'large', 'package', 'weight', 'page', 'shoulder', 'add', 'training-', 'durable', 'olympic', 'wrists', 'manufacturer', 'possible', 'optimal', 'super', 'guarantee', 'pair/2', 'accessories', 'extra', 'support', 'pair', 'confident', 'competitors', 'press', 'advisable', 'nordic', 'workouts', 'functionality', 'weightlifting', 'size', 'signature', 'men', 'warranty', 'elastic', 'year', 'lifting', 'dutyh', 'heaviest', 'thumb', 'strongman', 'bench', 'women', 'length', 'wraps']"
Chums No Tail Adjustable Eyewear Retainer,"['Chums No Tail Adjustable Eyewear Retainer includes an intense, active sports like kayaking and climbing require a secure retainer that fits under a helmet. This sunglass strap is perfect for those who prefer their CHUMS without a tail. Great for activities that require helmets it has a similar fit and feel.']",Chums,B003CJWRE8,https://images-na.ssl-images-amazon.com/images/I/41NiUjbI2TL._AC_SY355_.jpg,5.0,6.0,"['activities', 'strap', 'sunglass', 'adjustable', 'intense', 'retainer', 'sports', 'kayaking', 'tail', 'helmets', 'perfect', 'chums', 'similar', 'helmet', 'climbing', 'secure', 'fit', 'active', 'great', 'eyewear']"
Optical Corrective Scuba Dive Snorkeling Mask Prescription Lenses,"['', 'The Promate Scope Mask is ideal for medium faces which facial seal size Width 4-1/2 * Height 3-3/8. It features crystal, liquid silicone injected skirt and strap, double edge comfort seal, low volume. Plus, prescription (Rx) lens is available in our product line for this model. Rx lens will be installed in the mask by our trained techanician.', 'Corrective lens is designed for off-the-shelf correction. Lens is not for who has complicated vision problems such as astigmatism (correction needed for both near and far away) or multi-vision. Should you have other questions you may contact us.', 'The upper part of the biofocal lens is generally used for distance vision (NO PRESCRIPTION,) while the lower part is used for near vision with adjustment power for close-up work. A segment line separates the two section for bifocal lens type. By contrast, both farsightedness and nearsightedness are single vision which has the same optical focal point or correction over the entire area of the lens.', 'Tempered glass is a type of safety glass processed by controlled thermal or chemical treatments to increase its strength. Tempering creates balanced internal stresses which cause the glass, when broken, to crumble into small granular chunks instead of splintering into jagged shards. The granular chunks are less likely to cause injury.']",Promate,B003CMOZ68,https://images-na.ssl-images-amazon.com/images/I/51FQWaUduQL._AC_SY450_.jpg,5.0,5.0,"['shards', 'chemical', 'adjustment', 'double', 'low', 'lower', 'point', 'prescription', 'questions', 'bifocal', 'problems', 'comfort', 'single', 'entire', 'nearsightedness', 'liquid', 'work', 'model', 'silicone', 'lenses', 'edge', 'faces', 'small', 'lens', 'strap', 'height', 'crystal', 'chunks', 'injury', 'stresses', 'balanced', 'corrective', 'scope', 'safety', 'jagged', 'likely', 'tempered', 'skirt', 'astigmatism', 'ideal', 'distance', 'upper', 'internal', 'correction', 'scuba', 'seal', 'multi', 'product', 'farsightedness', 'promate', 'area', 'shelf', 'facial', 'section', 'techanician', 'available', 'line', 'focal', 'tempering', 'snorkeling', 'vision', 'granular', 'near', 'optical', 'power', 'contrast', 'rx', 'strength', 'volume', 'treatments', 'medium', 'thermal', 'type', 'dive', 'biofocal', 'mask', 'segment', 'glass', 'size']"
"Caldwell Stable Table with 360 Degree Rotation and Weatherproof Synthetic Top for Outdoor Shooting, Hunting and Cleaning","['The Stable Table is purpose-built to be the finest value-priced shooting bench on the market. The tripod design is more rigid and has fewer joints than folding-style benches and is appropriate for a wider variety of shooting conditions. The central shaft, seat and tabletop all pivot allowing the user to make shots at any angle from a single setup  ideal for varmint hunting. The Stable Table breaks down into seven pieces and weighs a total of 60 pounds.']",Caldwell,B00162PRPY,https://images-na.ssl-images-amazon.com/images/I/71gKOLC%2BzVL._AC_SY450_.jpg,5.0,5.0,"['outdoor', 'benches', 'rigid', 'shots', 'ideal', 'hunting', 'conditions', 'appropriate', 'total', 'stable', 'folding', 'weatherproof', 'wider', 'angle', 'market', 'degree', 'style', 'finest', 'value', 'purpose', 'user', 'synthetic', 'design', 'shaft', 'central', 'variety', 'setup', 'joints', 'table', 'rotation', 'tripod', 'fewer', 'single', 'caldwell', 'shooting', 'pieces', 'seat', 'varmint', 'tabletop', 'bench', 'pounds']"
The Fish Grip Glow in The Dark Fish Lip Gripper Handheld,"[""The United Plastics Fish Grip is a new fish landing device developed by an expert angler and used by many fishing guides. The product will help any fisherman successfully land a fish with less chance of injury either to the fisherman or to the fish, which may be released. Made of plastic and stainless steel you can be assured this product will last many fishing trips. The unique jaw design of the United Plastics Fish Grip can hold a fish up to 50-Pounds. The product comes with a lanyard so the fisherman can keep the grip close while fishing. If you happen to lose the grip overboard don't worry, this grip will float. Just attach to a scale and deduct 5-ounces. This model glows in the dark so you can add it to your night fishing arsenal. It also floats if lost in the water. United Plastics has been a leader in the manufacturing of quality plastic products since 1946. We supply flexible, rigid and dual durometer profiles, PVC cellular foam profiles, flexible sheet and roll goods for the construction, automotive, furniture and many other industries.""]",The Fish Grip,B004CGD4HE,https://images-na.ssl-images-amazon.com/images/I/71EpXojhDcL._AC_SX466_.jpg,5.0,4.0,"['model', 'arsenal', 'united', 'rigid', 'angler', 'fisherman', 'landing', 'industries', 'durometer', 'handheld', 'expert', 'sheet', 'flexible', 'close', 'manufacturing', 'jaw', 'gripper', 'new', 'injury', 'profiles', 'construction', 'design', 'device', 'night', 'fish', 'leader', 'guides', 'product', 'cellular', 'chance', 'plastic', 'plastics', 'products', 'grip', 'lanyard', 'lip', 'foam', 'unique', 'pvc', 'water', 'automotive', 'scale', 'stainless', 'dark', 'roll', 'furniture', 'trips', 'dual', 'goods', 'fishing', 'steel', 'quality']"
Jaeger Sports Exercise Baseball/Softball J-Bands,"['The J-Band is a great tool for creating and maintaining arm strength in or out of season. This rotator cuff exercise program is the key to preventing arm injuries while promoting arm health, strength, endurance and recovery period.']",Jaeger Sports,B00NM14QEK,https://images-na.ssl-images-amazon.com/images/I/51C45ZfKdoL._AC_SY355_.jpg,5.0,7.0,"['bands', 'key', 'program', 'health', 'rotator', 'jaeger', 'injuries', 'strength', 'sports', 'cuff', 'season', 'exercise', 'period', 'baseball', 'softball', 'tool', 'j', 'arm', 'band', 'endurance', 'great', 'recovery']"
Wilson NFL Super Grip Football,"[""Football is a game of will. Take hold of the game with the NFL Supergrip. Made with a high-performance composite material, this football offers the ideal blend of durability, grip and performance worthy of the official NFL logo and the game's best players; whatever league they play in.""]",Wilson,B0012SNLJG,https://images-na.ssl-images-amazon.com/images/I/91MvyMn3UpL._AC_SX569_.jpg,5.0,11.0,"['worthy', 'ideal', 'league', 'game', 'best', 'hold', 'blend', 'logo', 'performance', 'material', 'durability', 'nfl', 'composite', 'super', 'grip', 'players', 'high', 'official', 'football', 'supergrip', 'wilson']"
ASICS Unisex Cushion Low Cut,"['This plush low cut features a cloud-like feel, providing the performance and extra breathability any active athlete requires.']",ASICS,B00NQYTXXW,https://images-na.ssl-images-amazon.com/images/I/71dLe65qCiL._AC_UX342_.jpg,5.0,9.0,"['asics', 'breathability', 'athlete', 'cut', 'like', 'cloud', 'feel', 'extra', 'active', 'performance', 'unisex', 'cushion', 'plush', 'low']"
