title,image,brand,asin,description,rating,nReviews,keywords
BriteSmile Mouth Rinse 14 oz,"['https://images-na.ssl-images-amazon.com/images/I/51hem7jJxhL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51tiTDuQ-RL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51M6BI5JR%2BL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51iI0Fxj-PL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-DDqAztmL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51nyV1rXw3L._SS40_.jpg']",BriteSmile,B0010DMNFQ,"['BriteSmile Mouth Rinse is a great addition to the BriteSmile Professional Whitening Product line. This crystal-clear, alcohol-free rinse is specifically formulated for use to maintain your naturally white smile following the BriteSmile treatment.Clear formula - free from dyes and pigments that can stain teethAlcohol-free - mild on sensitive teeth and gumsMint flavor - to help freshen your breath']",4.9904458598726125,314.0,"['crystal', 'use', 'sensitive', 'britesmile', 'smile', 'pigments', 'great', 'dyes', 'addition', 'product', 'gumsmint', 'white', 'professional', 'rinse', 'clear', 'mouth', 'free', 'mild', 'teethalcohol', 'breath', 'alcohol', 'treatment.clear', 'flavor', 'line', 'oz', 'formula', 'teeth']"
"Paul Brown Hawaii Hapuna Hair Styling Paste, 8 Ounce",['https://images-na.ssl-images-amazon.com/images/I/31YNQ71ehXL._SS40_.jpg'],Paul Brown Hawaii,B004LUQRJI,"['Molding creme is a pliable paste that transforms hair texture, adding volume, density and flexibility without weighing hair down. Leave hair shiny and polished. No animal testing and environmental friendly formulation and packaging. Transforms hair texture adding volume, density, and thickness to even the finest, thinnest hair. Contains Kukui nut oil that renew sheen and balance moisture content in hair and scalp. You will achieve your desired look whether smooth and sleek, or thick and voluminous. Professional quality.']",4.984189723320158,253.0,"['sleek', 'finest', 'content', 'hapuna', 'testing', 'sheen', 'paste', 'creme', 'balance', 'look', 'shiny', 'packaging', 'scalp', 'friendly', 'moisture', 'thickness', 'environmental', 'hair', 'hawaii', 'volume', 'professional', 'thick', 'smooth', 'oil', 'thinnest', 'styling', 'texture', 'density', 'nut', 'flexibility', 'ounce', 'animal', 'molding', 'polished', 'kukui', 'pliable', 'formulation', 'paul', 'brown', 'voluminous', 'quality']"
Bonne Bell Smackers Bath and Body Starburst Collection,['https://images-na.ssl-images-amazon.com/images/I/51YtMbE7maL._SS40_.jpg'],Bonne Bell,B000URXP6E,"['Juicy burst of Starburst fruit flavored Lip Smacker lip glosses. Smooth formula glides on lips for moisture and juicy flavor that lasts. Fun lip smacker flavors in limited collection  are offered every year, especially during holidays.', '', '']",4.8389662027833005,1006.0,"['limited', 'holidays', 'bonne', 'moisture', 'burst', 'lip', 'body', 'lips', 'flavors', 'smooth', 'year', 'glosses', 'fun', 'fruit', 'bell', 'collection', 'smackers', 'bath', 'juicy', 'starburst', 'flavor', 'formula', 'smacker']"
2016 Monthly Wall Calendar - Boyd's Bears,"['https://images-na.ssl-images-amazon.com/images/I/51osk8yTEOL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61rJEIwOO5L._SS40_.jpg']",Perfecto,1620213982,"[""We don't know when or if this item will be back in stock.""]",4.798414023372287,4792.0,"['item', 'monthly', 'wall', 'calendar', 'bears', 'stock', 'boyd']"
"Avalon Grapefruit and Geranium Smoothing Shampoo, 11 Ounce",['https://images-na.ssl-images-amazon.com/images/I/31GS9ujfI%2BL._SS40_.jpg'],Avalon,B001OHV1H4,"[""It's in our name: Avalon Organics. Our commitment to organic agriculture extends beyond personal care formulation to a passion for home-grown sustainability, a cleaner global environment and, of course, personal health. Our dedication to these ideals is summarized in our pledge, Consciousness in Cosmetics: To honor our bodies and the world we live in by creating an extraordinary range of truly effective personal care products that are inherently pure, safe and certified to the NSF/ANSI 305 Standard for Personal Care Products Containing Organic Ingredients. Each of our products is made with organic ingredients, including botanicals, extracts and essential oils. We honor ourselves, our planet and our users with the Consciousness in Cosmetics promise. We urge you to take time to honor yourself everyday.""]",4.783180026281209,761.0,"['consciousness', 'oils', 'shampoo', 'grapefruit', 'environment', 'global', 'dedication', 'planet', 'organic', 'ingredients', 'botanicals', 'world', 'geranium', 'products', 'ansi', 'extracts', 'cosmetics', 'time', 'users', 'bodies', 'home', 'sustainability', 'cleaner', 'course', 'personal', 'commitment', 'pure', 'avalon', 'ounce', 'effective', 'safe', 'extraordinary', 'essential', 'agriculture', 'smoothing', 'care', 'ideals', 'organics', 'health', 'range', 'nsf', 'passion', 'standard', 'pledge', 'formulation']"
Glycerin Vegetable Kosher USP-Highest Quality Available-1 Quart (32 Fluid Ounces)-From Element Six,['https://images-na.ssl-images-amazon.com/images/I/312eCecpkML._SS40_.jpg'],Element,B00H4C6L2I,"['This Vegetable Glycerin is the highest quality available anywhere. Our VG is bottled in a Class 8 Clean Room environment. All of our bottles are pre-sterilized. Our bottling line for this Vegetable Glycerin is exclusively dedicated to VG to eliminate any possibility of cross contamination. Unlike other sources of Glycerin on the market, our bottling equipment will never be used to process dangerous or caustic material. The safety and purity of our Vegetable Glycerin is our number one priority.']",4.75,248.0,"['safety', 'contamination', 'glycerin', 'environment', 'class', 'highest', 'available', 'kosher', 'room', 'possibility', 'fluid', 'bottling', 'quart', 'ounces)-from', 'usp', 'sources', 'number', 'priority', 'vegetable', 'cross', 'bottles', 'equipment', 'market', 'clean', 'material', 'dangerous', 'caustic', 'element', 'vg', 'line', 'purity', 'quality']"
"Dr. Singha's Mustard Bath, Therapeutic Bath Salts, 8 Ounce","['https://images-na.ssl-images-amazon.com/images/I/613iEeYIn6L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31N3mHVEJ3L._SS40_.jpg']",Dr. Singha's,B00016WU6A,"['Singhas Mustard Bath 8 oz PowderA Gentle Herbal Formula With Powdered Mustard Seed, Eucalyptus, Rosemary, Wintergreen & ThymeSuggested Use As a dietary supplement Dr. Shinghas aromatic bath formula has been widely used in England for 35 years with excellent results. Traditionally, Mustard is renowed for its stimulating, cleansing and rejuvenating qualities. The warmth of the Mustard assists in opening the pores of your skin helping you to sweat out impurities. Dr. Shyams Singha, well-known Master Acupucturist, Osteopath, Nauropath and Ayurevedic physician recommends his formula as an aid in relieving many ailments. These include Stress, Muscle and Joint Soreness, Congestion, Skin Conditions, Periodic Tensions and Sleeplessness. Use as a perfect complement to any Purification and Tissue Cleansing Program. - Or as directed by your healthcare professional.Directions Foot Bath - Disolve 1 large Tbl. spoon of the formula in a bowl of hot water. Soak for 20 minutes. Rinse with cold water. Full Bath - Add 2oz to a hot bath. Relax in the water for 20 minutes. Finish with a cold shower, dry with a rough towel and keep warm for best results.Other Ingredients: This formula contains: Powdered Mustard Seeds, Oils Of Wintergreen, Ecualptus, Rosemary, And Thyme And Powdered Gum Benzoin In A Base Of Sodium CarbonateWarnings: Keep out of reach of children. As with all dietary supplements, consult your healthcare professional before use. See product label for more information.']",4.709342560553633,289.0,"['dr', 'water', 'information', 'gum', 'ecualptus', 'disolve', 'minutes', 'cleansing', 'powdera', 'england', 'skin', 'tissue', 'warm', 'congestion', 'professional.directions', 'conditions', 'bowl', 'rough', 'ayurevedic', 'eucalyptus', 'soreness', 'therapeutic', 'reach', 'joint', 'tensions', 'use', 'oils', 'best', 'impurities', 'seeds', 'product', 'spoon', 'mustard', 'seed', 'wintergreen', 'results', 'purification', 'benzoin', 'ounce', 'herbal', 'powdered', 'excellent', 'sodium', 'physician', 'stress', 'rosemary', 'muscle', 'sleeplessness', 'aid', 'carbonatewarnings', 'towel', 'gentle', 'qualities', 'base', 'healthcare', 'master', 'label', 'professional', 'cold', 'supplements', 'warmth', 'periodic', 'supplement', 'singhas', 'hot', 'shower', 'dry', 'nauropath', 'thyme', 'singha', 'acupucturist', 'large', 'dietary', 'shinghas', 'children', 'ingredients', 'shyams', 'ailments', 'foot', 'tbl', 'osteopath', 'years', 'aromatic', 'pores', 'salts', 'rejuvenating', 'complement', 'bath', 'program', 'oz', 'formula', 'perfect', 'stimulating']"
"Dr. Singha's Mustard Bath, Therapeutic Bath Salts, 8 Ounce","['https://images-na.ssl-images-amazon.com/images/I/613iEeYIn6L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31N3mHVEJ3L._SS40_.jpg']",Dr. Singha's,B00016WU6A,"['Singhas Mustard Bath 8 oz PowderA Gentle Herbal Formula With Powdered Mustard Seed, Eucalyptus, Rosemary, Wintergreen & ThymeSuggested Use As a dietary supplement Dr. Shinghas aromatic bath formula has been widely used in England for 35 years with excellent results. Traditionally, Mustard is renowed for its stimulating, cleansing and rejuvenating qualities. The warmth of the Mustard assists in opening the pores of your skin helping you to sweat out impurities. Dr. Shyams Singha, well-known Master Acupucturist, Osteopath, Nauropath and Ayurevedic physician recommends his formula as an aid in relieving many ailments. These include Stress, Muscle and Joint Soreness, Congestion, Skin Conditions, Periodic Tensions and Sleeplessness. Use as a perfect complement to any Purification and Tissue Cleansing Program. - Or as directed by your healthcare professional.Directions Foot Bath - Disolve 1 large Tbl. spoon of the formula in a bowl of hot water. Soak for 20 minutes. Rinse with cold water. Full Bath - Add 2oz to a hot bath. Relax in the water for 20 minutes. Finish with a cold shower, dry with a rough towel and keep warm for best results.Other Ingredients: This formula contains: Powdered Mustard Seeds, Oils Of Wintergreen, Ecualptus, Rosemary, And Thyme And Powdered Gum Benzoin In A Base Of Sodium CarbonateWarnings: Keep out of reach of children. As with all dietary supplements, consult your healthcare professional before use. See product label for more information.']",4.709342560553633,289.0,"['dr', 'water', 'information', 'gum', 'ecualptus', 'disolve', 'minutes', 'cleansing', 'powdera', 'england', 'skin', 'tissue', 'warm', 'congestion', 'professional.directions', 'conditions', 'bowl', 'rough', 'ayurevedic', 'eucalyptus', 'soreness', 'therapeutic', 'reach', 'joint', 'tensions', 'use', 'oils', 'best', 'impurities', 'seeds', 'product', 'spoon', 'mustard', 'seed', 'wintergreen', 'results', 'purification', 'benzoin', 'ounce', 'herbal', 'powdered', 'excellent', 'sodium', 'physician', 'stress', 'rosemary', 'muscle', 'sleeplessness', 'aid', 'carbonatewarnings', 'towel', 'gentle', 'qualities', 'base', 'healthcare', 'master', 'label', 'professional', 'cold', 'supplements', 'warmth', 'periodic', 'supplement', 'singhas', 'hot', 'shower', 'dry', 'nauropath', 'thyme', 'singha', 'acupucturist', 'large', 'dietary', 'shinghas', 'children', 'ingredients', 'shyams', 'ailments', 'foot', 'tbl', 'osteopath', 'years', 'aromatic', 'pores', 'salts', 'rejuvenating', 'complement', 'bath', 'program', 'oz', 'formula', 'perfect', 'stimulating']"
"Essential Oils Carrying Case - Hard Shell Travel Case Perfect for Essential Oil Storage - Comes with Labels, Foam Insert, Carrying Handle (30 Bottles, Purple)","['https://images-na.ssl-images-amazon.com/images/I/419ZdsHKuAL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41CKpfZgHoL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51HSQ%2BIKb7L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51O%2BkrmMbvL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-c4U8u6kL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41F8nAqosJL._SS40_.jpg']",Soothing Terra,B01B6YTFRC,"['Take this shockproof and waterproof essential oils carrying case with you wherever you go. This EVA essential oil case includes a durable outer shell, handle and foam insert to make sure you essential oil investment is organized and safe. The case holds up to 70 vials (5 ml, 10 ml, or 15 ml). Carry your doTerra, Young Living or other popular essential oils in style with this case. Soothing Terra produces nothing but the highest quality essential oil accessories and offers a 100% money back guarantee on their products. For any reason you are not happy with this essential oil case, please let us know and we ill make it right.']",4.701492537313434,268.0,"['popular', 'purple', 'ml', 'oils', 'young', 'foam', 'shockproof', 'terra', 'hard', 'vials', 'highest', 'outer', 'labels', 'handle', 'investment', 'accessories', 'products', 'shell', 'waterproof', 'happy', 'durable', 'money', 'right', 'oil', 'insert', 'bottles', 'doterra', 'reason', 'essential', 'safe', 'living', 'travel', 'style', 'sure', 'eva', 'storage', 'case', 'perfect', 'guarantee', 'quality']"
"All in One Intense Anti-Aging Face and Body Moisturizer 8oz - Nourish and Repair - with Organic Aloe Vera, Manuka Honey, Hemp Oil- For Eczema, Psoriasis, Shingles, Rosacea, and Damaged Skin","['https://images-na.ssl-images-amazon.com/images/I/51V-HrnijfL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51VApo0UO8L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51c-cbqh2TL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51anKe0V4wL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/517pOiVUlaL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51myJbz8UfL._SS40_.jpg']",ResQ Organics,B00L0JYAZG,"['', 'What ingredients are helpful to the skin?', 'Manuka Honey: anti-fungal, anti-bacterial and anti-viral with unmatched healing properties. Used in hospitals for diabetic wound care, burn units, post surgery and to treat MRSA.', 'Organic Aloe Vera: penetrates and carries the ingredients down to the the cellular level. Soothes and treats redness, burning, & itching.', 'Cehami: An Australian botanical reduces redness, inflammation and pain, and itching. Proven to increase cellular regeneration by up to 50%,', 'Blue-green Algae stimulates production of collagen, creates cellular rejuvenation. Great for your eyes and face.', 'Shea Butter, Cocoa Butter, Olive Oil, Hydrating coconut Oil, Hemp Oil, hydrating and moisturizing the skin moisturized.', 'These ingredients work together to promote fast healing, will repair your skin giving you a more youthful appearance.', 'Benefits Moisturizes for more hydration, and toning.  Anti-wrinkle .  Repairs and rejuvenates skin cells.  Reduce pain and itching.  Stimulates collagen production.  Promotes rapid healing.  Effective for Eczema, Psoriasis, Rosacea, Dermatitis . Hidradenitis Suppurativa HS. Diabetic Skin Issues.  Helps Eliminate Acne Scars and Stretch Marks.  Look younger', ""Everything Your Skin Needs, Nothing It Doesn't. Guaranteed Or Your Money Back!"", 'Try ResQ Today! Click the ""Add To Cart"" button at the top of this page to buy now!']",4.670995670995671,231.0,"['stretch', 'burning', 'hydrating', 'properties', 'acne', 'repairs', 'skin', 'page', 'butter', 'oil', 'rejuvenation', 'shea', 'hydration', 'dermatitis', 'today', 'diabetic', 'hs', 'vera', 'scars', 'wrinkle', 'psoriasis', 'cellular', 'toning', 'post', 'honey', 'coconut', 'button', 'fungal', 'great', 'damaged', 'fast', 'needs', 'issues', 'algae', 'resq', 'moisturizer', 'inflammation', 'unmatched', 'helpful', 'anti', 'hospitals', 'botanical', 'blue', 'soothes', 'appearance', 'units', 'cells', 'cocoa', 'regeneration', 'production', 'organic', 'face', 'burn', 'shingles', 'youthful', 'viral', 'pain', 'level', 'rapid', 'hidradenitis', 'healing', 'add', 'bacterial', 'redness', 'intense', 'manuka', 'collagen', 'ingredients', 'rosacea', 'surgery', 'body', 'green', 'money', 'olive', 'marks', 'aging', 'cehami', 'mrsa', 'itching', 'moisturizes', 'aloe', 'effective', 'benefits', 'oil-', 'care', 'wound', 'eyes', 'younger', 'australian', 'suppurativa', 'oz', 'eczema', 'hemp']"
