title,description,brand,asin,image,rating,nReviews,keywords
"gofanco Gold Plated 10 Feet Mini DisplayPort to DVI Adapter Cable - Thunderbolt MALE to MALE for MacBook, Mac Mini, Microsoft Surface Pro, Google Chromebook Pixel, and Mini DisplayPort laptops","['', 'gofanco 10ft Mini DisplayPort to DVI Adapter Cable  connects Mini DisplayPort compatible devices such as Apple MacBooks, and Microsoft Surface tablets, Ultrabooks and laptops with a Mini DisplayPort output to DVI equipped monitors, displays and HDTVs. It can support displays of up to 1080p HDTV or 1920 x 1200 PC graphics and is ideal for your office, home entertainment display, conference rooms, and more.', 'Connectors  - Input: 20-pin Mini DisplayPort / Thunderbolt Port, Male  - Output: 24+1-pin DVI-D Single Link, Male', 'Specifications  - PC resolution supported: 800x600, 1024x768, 1280x768, 1280x800, 1280x960, 1280x1024, 1440x900, 1600x1200, 1680x1050 @60Hz, 1920x1080 @60Hz, 1920x1200 @60Hz  - HDTV resolution supported: 480i, 576i, 480p, 576p, 1080i and 1080p @60Hz  - Chipset: LT8611  - Bandwidth: Up to 1.65Gbps per channel (4.95Gbps all channels)  - Audio: None  - Length: 3ft', 'Compatible Devices (Current Known Devices)  - Apple MacBook, MacBook Pro, MacBook Air, iMac, Mac mini, Mac Pro  - Microsoft Surface Pro/Pro 2/Pro 3/Pro 4, Surface 3, Surface Book (NOT Surface/Surface 2)  - Lenovo ThinkPad X1 Carbon, X230/240s, L430/440, L530/540, T430/440, T440s, T440p, T530/540p, W530/540, Helix  - Dell XPS 13/14/15/17, Latitude E7240/E7440, Precision M3800  - Alienware 14/17/18  - Acer Aspire R7  - Intel NUC  - Asus Zenbook UX303LA/UX303LN  - HP Envy 14/17  - Google Chromebook Pixel  - Cyberpower Zeusbook Edge X6-100/X6-200  - Toshiba Satellite Pro S500, Tecra M11/A11/S11  - Other major branded laptops   Note:  Not compatible with Thunderbolt 3 (USB-C) ports', ""What's in the Package  - 10ft Mini DisplayPort to DVI Adapter Cable - Black"", 'Warranty & Support  - Limited One-Year Warranty and Lifetime Product Support']",gofanco,B00OMEBJD2,https://images-na.ssl-images-amazon.com/images/I/61ms-YbfiTL._AC_SX425_.jpg,5.0,5.0,"['chipset', 'connectors', 'channels', 'office', 'displayport', 'ports', 'port', 'aspire', 'graphics', 't530/540p', 'package', 'envy', 'r7', 'conference', 'e7240', 'e7440', 'satellite', 'carbon', 'ultrabooks', 'surface', 'a11', 'support', 'link', 'lt8611', 'displays', 'single', 'zeusbook', 'entertainment', '1600x1200', 'compatible', 'air', 'helix', 'bandwidth', 'tablets', 'mac', 'precision', 'length', 'male', 'edge', 'intel', 'lenovo', 'specifications', '1920x1200', 'laptops', '480p', 'm3800', 'asus', 'dell', 'cable', 'rooms', 'tecra', 'pc', 'output', 'ux303ln', 'macbooks', 'x230/240s', 'pixel', '1680x1050', 'devices', '576i', 'gold', 'year', 'display', 'feet', '1280x1024', 'book', 's500', 'ideal', 'current', 'd', '480i', 'macbook', 'nuc', '@60hz', '1920x1080', 'ux303la', 'google', 'm11', 'usb', 'hdtvs', 'microsoft', 'w530/540', 'product', 'dvi', '576p', 'home', 'imac', 'channel', 'thinkpad', 'toshiba', 'alienware', '14/17/18', 'ft', 'cyberpower', 'l430/440', 'resolution', 'mini', 'x6', 'adapter', 'black', 'major', 't430/440', 'hdtv', 'input', 'zenbook', 'monitors', 'thunderbolt', 'xps', 'hp', 'apple', 'pro', 't440p', 'c', 'chromebook', 'acer', 'audio', 'gofanco', 'lifetime', 'latitude', 'warranty', 'x1', 'l530/540', 'note']"
"Samsung Galaxy Tab 4 10.1 Case, SUPCASE[Unicorn Beetle PRO Series]case for Galaxy Tab 4 10.1 Tablet (SM-T530/T531/T535) Full-body Rugged Hybrid Protective Cover with Built-in Screen Protector (BLK)","[""Compatibility: Compatible with Samsung Galaxy Tab 4 10.1 Tablet (2014 Release), allowing full access to touchscreen, camera, buttons, and ports. NOT COMPATIBLE with Samsung Galaxy Tab 4 7.0, 8.0 or any other Samsung models. Materials: High grade polycarbonate + thermoplastic polyurethane for shock absorption. Front cover with built-in screen protector prevents scratches without compromising sensitivity. Design: Designed with both protection and looks in mind, SUPCASE Unicorn Beetle PRO Series Full-body Hybrid Case provides shock absorption and scratch prevention while maintaining a sporty profile. - Advanced front cover design for easy installation - Built-in screen protector without compromising sensitivity - Advanced dual-layer (PC + TPU) design provides great impact and shock resistance and prevents accidental drop, bump, and shock - Port cover keeps out debris and dust - Easy access to all features (buttons, camera, speaker, and ports) - Sporty profile and multiple color options What's in the package? 1x SUPCASE Unicorn Beetle PRO Case""]",SUPCASE,B00LGZ8ELK,https://images-na.ssl-images-amazon.com/images/I/71-QcWFxWdL._AC_SX569_.jpg,5.0,5.0,"['tpu', 'series', 'profile', 'tab', 'grade', 'blk', 'samsung', 'advanced', 'impact', 'features', 'layer', 'polyurethane', 'easy', 'ports', 'protector', 'sporty', '1x', 'beetle', 'installation', 'port', 'galaxy', 'rugged', 'speaker', 'prevention', 'series]case', 'sm', 'camera', 'multiple', 'design', 'package', 'protection', 'sensitivity', 'supcase[unicorn', 'resistance', 'cover', 'supcase', 'bump', 'screen', 'thermoplastic', 'pro', 'mind', 'materials', 'options', 'buttons', 'shock', 'debris', 'accidental', 'body', 'models', 'tablet', 'access', 'pc', 'high', 'release', 'color', 't531', 'protective', 'dust', 'polycarbonate', 'hybrid', 'case', 'compatible', 'absorption', 'dual', 'unicorn', 'touchscreen', 't530', 'compatibility', 'scratch', 'scratches', 'great', 'drop']"
LQM New Laptop Battery For Apple MacBook 13 inch A1280 A1278 (2008 Version) MB771G/A MB467LL/A MB466LL/A,"['Notice: 1Please check your battery part number or laptop model to ensure you are getting the correct battery for your laptop. If you are not sure about the compatibility of this item or need help finding out the part number you need, feel free to email us through Amazon before placing your order. 2This battery only works with laptops made in 2008, you will need a built-in battery if your laptop was manufactured in 2009 2010 2011 2012 or later.  Color:silver  Type: Li-Ion  Voltage: 10.8V  Capacity: 45Wh  Compatible Models:  Apple MacBook 13"" A1278 Battery  Apple MacBook 13"" Aluminum Unibody Series Battery (2008 Version)  Apple MacBook 13"" MB466*/A Battery  Apple MacBook 13"" MB466CH/A Battery  Apple MacBook 13"" MB466J/A Battery  Apple MacBook 13"" MB466LL/A Battery  Apple MacBook 13"" MB466X/A Battery  Apple MacBook 13"" MB467*/A Battery  Apple MacBook 13"" MB467CH/A Battery  Apple MacBook 13"" MB467J/A Battery  Apple MacBook 13"" MB467LL/A Battery  Apple MacBook 13"" MB467X/A Battery  12 months warranty For the new battery , we suggest that all of our customer should full charge it by AC power adapter ,because takes a long period, the capacity was strain out by inner PCB circuit, in order to protect your battery life,you can full charge to 100% and drain to 1% 2 times,then the capacity will recover.']",LQM,B00WJSK2BS,https://images-na.ssl-images-amazon.com/images/I/51L0eGDCHqL._AC_SY450_.jpg,5.0,5.0,"['inch', 'model', 'voltage', 'series', 'mb466ll', 'mb466*/a', 'long', 'help', 'drain', 'battery', 'power', 'months', 'macbook', 'capacity', 'a1280', 'customer', 'adapter', 'item', 'sure', 'pcb', 'laptops', 'new', 'order', 'times', 'mb467x', 'mb466j', 'free', 'apple', 'li', 'ion', 'period', 'mb771g', 'aluminum', 'strain', 'inner', 'a1278', 'mb466x', 'mb467j', 'lqm', 'type', 'number', 'laptop', 'models', 'mb466ch', 'color', 'notice', 'silver', 'amazon', 'mb467*/a', 'compatible', 'circuit', 'version', 'mb467ll', 'warranty', 'life', 'unibody', 'compatibility', 'correct', 'ac', 'charge', 'mb467ch']"
Ballistix Tactical 4GB Single DDR3 1600 MT/s (PC3-12800) UDIMM 240-Pin Memory - BLT4G3D1608DT1TX0,['BLT4G3D1608DT1TX0 is a single 4GB DDR3 Performance module that operates at speeds up to 1600 MT/s and has a CL8 latency with extended timings of 8-8-8-24. It is Performance and is non-ECC. It conforms to the industry standard UDIMM layout of 240 pins and is compatible with computers that take DDR3 UDIMM memory.'],Ballistix,B006YG96G8,https://images-na.ssl-images-amazon.com/images/I/610rfPpF1zL._AC_SX466_.jpg,5.0,6.0,"['pins', 'latency', 'industry', 'standard', 's', 'computers', 'speeds', 'extended', 'mt', 'cl8', 'pc3', '12800', 'performance', 'memory', 'non', 'module', 'gb', 'ddr3', 'ecc', 'ballistix', 'timings', 'layout', 'tactical', 'single', 'compatible', 'blt4g3d1608dt1tx0']"
Corsair 8GB Flash Survivor USB 2.0 Flash Drive CMFUSBSRVR-8GB,"['p The Corsair Flash Survivor is an extremely durable, water resistant, drop-tested flash USB memory drive. By design it is perfect for transporting valuable data such as personal files, photos and applications without having to worry about damage or loss of data due to the elements. /p']",BOZI9,B000WJTENI,https://images-na.ssl-images-amazon.com/images/I/41LWXknqVtL._AC_SX425_.jpg,5.0,11.0,"['elements', 'applications', 'corsair', 'damage', 'files', 'photos', 'resistant', 'design', 'usb', 'drive', 'memory', 'cmfusbsrvr-8', 'durable', 'personal', 'perfect', 'gb', 'survivor', 'flash', 'valuable', 'water', 'loss', 'drop', 'data']"
Lexar High-Performance MicroSDHC 300x 16GB UHS-I/U1 w/Adapter Flash Memory Card (old packaging) LSDMI16GBBNL300A,['Lexar High-Performance MicroSDHC 300x 16GB UHS-I/U1 w/Adapter Flash Memory Card'],Lexar,B00IF4OE78,https://images-na.ssl-images-amazon.com/images/I/81gms0okyOL._AC_SX679_.jpg,5.0,6.0,"['u1', '300x', 'w', 'packaging', 'microsdhc', 'gb', 'old', 'card', 'lexar', 'flash', 'performance', 'lsdmi16gbbnl300a', 'memory', 'adapter', 'high', 'uhs']"
Sennheiser OfficeRunner Convertible Wireless Office Headset with Microphone - DECT 6.0 (Classic Silver),"['The OfficeRunner is the top of the line wireless office headset offered by Sennheiser, offering an upgrade in sound quality, range and comfort over Plantronics CS540 or other CS Series headsets and Jabra headsets.', 'WIRELESS OFFICE HEADSET FEATURES  400 Foot Range 12 Hour Talk Time Best Quality Wireless Headset', 'BEST LONG RANGE WIRELESS OFFICE HEADSET  The OfficeRunner wireless office headset lets you talk on the telephone comfortably up to 400 feet away from your desk phone or PC with its long range wireless capability.', 'PREMIUM SOUND QUALITY AND PERFORMANCE WIRELESS HEADSET  The OfficeRunner wireless office headset has amazing sound and crystal clear noise-reduction microphones that make it one of the best wireless headsets for use with most phone systems', ""WIRELESS OFFICE HEADSETS PHONE COMPATIBILITY  The OfficeRunner is guaranteed compatible with 98% of corded office phones.  Certified for use with softphones from Cisco, Avaya, Microsoft, etc.  It's compatible with VoIP services like Skype, Google Voice, and GoToMeeting just to name a few. With an excellent Speech recognition mic it is also a great option for Dragon Voice Dictation and other programs like it.  Works out of the box, simply charge the headset and go!"", 'THE BENEFITS OF WIRELESS OFFICE HEADSETS  At 0.78 ounces, the OfficeRunner is a light weight wireless headset that can improve productivity up to 43% as well as help your posture while reducing neck and back pain in comparison to hand held devices.', 'WIRELESS OFFICE HEADSETS WEARING STYLES  With our wireless office headset you can choose between two versatile wearing styles: over-the-head or on-the-ear headsets.', 'The bottom line is that the OfficeRunner wireless headset is the best wireless office headset on Amazon so buy today and enjoy it tomorrow!']",Sennheiser,B003VKVXF2,https://images-na.ssl-images-amazon.com/images/I/81gIBM5tLyL._AC_SX569_.jpg,5.0,5.0,"['microphone', 'office', 'talk', 'hour', 'use', 'voice', 'programs', 'head', 'wearing', 'productivity', 'wireless', 'styles', 'convertible', 'posture', 'microphones', 'comfort', 'compatible', 'light', 'series', 'tomorrow', 'corded', 'recognition', 'telephone', 'excellent', 'sound', 'dictation', 'crystal', 'best', 'comparison', 'speech', 'headsets', 'box', 'systems', 'pc', 'ear', 'devices', 'classic', 'cisco', 'cs540', 'mic', 'feet', 'upgrade', 'cs', 'ounces', 'premium', 'skype', 'google', 'dect', 'microsoft', 'services', 'headset', 'desk', 'plantronics', 'softphones', 'foot', 'silver', 'amazon', 'voip', 'avaya', 'capability', 'line', 'dragon', 'quality', 'great', 'range', 'long', 'phone', 'time', 'jabra', 'sennheiser', 'option', 'amazing', 'weight', 'pain', 'performance', 'today', 'reduction', 'versatile', 'phones', 'neck', 'benefits', 'clear', 'compatibility', 'officerunner', 'noise']"
"Logitech MX Master Wireless Mouse – High-precision Sensor, Speed-adaptive Scroll Wheel,  Thumb Scroll Wheel, Easy-Switch up to 3 Devices","['MX Master wireless mouse is the flagship mouse from Logitech designed for power users. This high-end product offers comfortable hand-sculpted contour, stunning design and advanced features, and is optimized for Windows and Mac.']",Logitech,B00TZR3WRM,https://images-na.ssl-images-amazon.com/images/I/61qvSZSLBzL._AC_SX679_.jpg,5.0,5.0,"['stunning', 'hand', 'master', 'advanced', 'features', 'power', 'wheel', 'logitech', 'sensor', 'end', 'users', 'flagship', 'mx', 'easy', 'speed', 'contour', 'design', 'adaptive', 'mouse', 'windows', 'product', 'wireless', 'comfortable', 'scroll', 'high', 'devices', 'mac', 'thumb', 'precision']"
"Logitech Z906 5.1 Surround Sound Speaker System - THX, Dolby Digital and DTS Digital Certified","['Logitech Surround Sound Speaker System Z906. Hear every detail, all around you - in theater-quality 5.1 sound.']",Logitech,B004M18O60,https://images-na.ssl-images-amazon.com/images/I/81eR41G4ydL._AC_SX679_.jpg,5.0,7.0,"['system', 'detail', 'speaker', 'theater', 'logitech', 'digital', 'dolby', 'z906', 'dts', 'quality', 'sound']"
Samsung 850 EVO V-NAND 1TB Solid State Drive mSATA (MZ-M5E1T0),"['What is 3D V-NAND and how does it differ from existing technology? Samsungs unique and innovative 3D V-NAND flash memory architecture is a breakthrough in overcoming the density limitations, performance and endurance of todays conventional planar V-NAND architecture. 3D V-NAND stacks 32 cell layers vertically over one another rather than decreasing cell dimensions and trying to fit itself onto a fixed horizontal space. As a result, the technology provides higher density and better performance utilising a smaller footprint. Optimise computing with TurboWrite technology for unrivalled read / write speeds. Achieve ultimate read / write performance to maximise your everyday computing experience with Samsungs TurboWrite technology. Compared to the 840 EVO, the 850 EVO shows an increased overall user experience of approximately 13%, partly thanks to the now 2x faster random write speeds The 850 EVO delivers top-notch performance in its class, with sequential read and write speeds of 540 MB/s and 520 MB/s, respectively. Enjoy optimised random performance in all Queue Depths (QD) for client PC usage scenarios. Increase memory storage with RAPID mode. The Samsung 850 EVO mSATA is a speed machine. With the latest Samsung Magician software, you can activate the RAPID mode to tap unused PC memory (DRAM) and use it as cache storage up to 25 percent of the total DRAM capacity. With the dramatic increase in storage, data processing speeds and random QD can be up to 2x faster under the RAPID mode. Endurance and reliability bolstered by 3D V-NAND technology. Through improving performance by up to 30%, the 850 EVO allows sustained performance making it one of the most dependable storage solutions. Energy efficiency backed by 3D V-NAND. The 850 Evo introduced the 2 mW device sleep mode', '5 Years/150TBW']",Samsung,B00TGIVRYU,https://images-na.ssl-images-amazon.com/images/I/919eOxYTuLL._AC_SY550_.jpg,5.0,7.0,"['sleep', 'v', 'dramatic', 'architecture', 'planar', 'mode', 'm5e1t0', 'solid', 'density', 'software', 'device', 'turbowrite', 'sequential', 'memory', 'horizontal', '3d', 'cell', 'samsungs', 'flash', 'solutions', 'overall', 'machine', 'breakthrough', 'data', 'energy', 'mb', 'efficiency', 'usage', 'samsung', 'qd', 'capacity', 'layers', 'smaller', 'depths', 's', 'unrivalled', 'write', 'read', 'storage', 'magician', 'stacks', 'thanks', 'processing', 'dependable', 'pc', 'conventional', 'scenarios', 'endurance', 'everyday', 'result', 'increase', 'latest', 'limitations', 'queue', 'nand', 'technology', 'speeds', 'speed', 'mz', 'user', 'unused', 'drive', 'dimensions', 'client', 'unique', 'evo', 'cache', 'state', 'todays', 'dram', 'total', 'mw', 'space', 'ultimate', 'class', 'performance', 'sustained', 'better', 'random', 'higher', 'experience', 'computing', 'percent', 'years/150tbw', 'msata', 'reliability', 'rapid', 'innovative', 'tb', 'footprint', 'notch']"
