title,description,brand,asin,image,rating,nReviews,keywords
Michael Kors Watches Bradshaw Watch,"['A stainless steel bracelet and a striking dial make this Michael Kors watch perfect for day to evening use. The MICHAEL Michael Kors Bradshaw watch features a stainless steel link bracelet with a deployant buckle closure and a sleek round dial. This watch is crafted with a stainless steel case and features an elegant and sophisticated sunray dial detailed with alternating Roman numeral and stick hour markers, a small Michael Kors logo near the top, and chronograph function with three sub dials. Water resistant up to 10 ATM, this versatile watch complements any casual, professional, or dressy outfit and can be worn for everyday use.']",Michael Kors,B006IWDWGS,"['https://images-na.ssl-images-amazon.com/images/I/41DIz7tnR%2BL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41RXGkszzTL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21UsyrYuV0L._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41SscZGmz1L._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31qIwONt0jL._SR38,50_.jpg']",5.0,3.0,"['round', 'resistant', 'small', 'deployant', 'perfect', 'bradshaw', 'day', 'professional', 'chronograph', 'striking', 'evening', 'kors', 'buckle', 'dials', 'watch', 'markers', 'dressy', 'logo', 'casual', 'sleek', 'sophisticated', 'function', 'everyday', 'steel', 'closure', 'water', 'atm', 'stainless', 'versatile', 'dial', 'link', 'sub', 'elegant', 'michael', 'hour', 'use', 'roman', 'sunray', 'outfit', 'numeral', 'bracelet', 'case']"
Lovely Annie Women's 4 Pairs Pack Knee High Cotton Boot Socks 6-9,"[""True stay-on women's knee high cotton boot socks with different colors to produce stylish design all year around! These knee-high cotton socks are very soft and cozy around your legs. A variety of colors to match well with your shoes and clothing from Monday to Friday! Work best with small to medium cal with comfortable touch. Great elasticity to accomodate US size 6 to 9 or even 10! Try it on and you will fall in love with them guaranteed!"", 'Other similar products we carry: knee high socks boot socks high black boots high black socks tube socks stockings for women stockings thigh high cute knee length dresses high socks leggings for women leggings for girls fashion boots for women women knee high boots knee socks teen tube neon socks thick thighs women boot socks girls knee high socks girls knee socks flats socks rain boot socks trouser socks women thigh high stockings thigh highs stocking thigh stocking thigh high winter stockings big thighs journeys socks women stockings black tube skirt combat boot socks nylons knee high running boots thigh boots thigh high boots for women thigh high tights thigh socks comfortable socks striped socks knee socks for women women long socks high cotton women socks']",Henny Rue,B01CB052QS,"['https://images-na.ssl-images-amazon.com/images/I/41H7fOWiS1L._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41z5M697ddL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fnR986B5L._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ha7kKJy%2BL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61vIxF1BFFL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51souaZCP9L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51FyqEDe1mL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51lSg43nZuL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51cC7O-RXbL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51E-NI7ElML._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51%2BKTkNaqpL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Qpr1dIdkL._SX38_SY50_CR,0,0,38,50_.jpg']",5.0,3.0,"['tube', 'elasticity', 'cute', 'similar', 'small', 'women', 'high', 'true', 'combat', 'shoes', 'length', 'comfortable', 'socks', 'stylish', 'flats', 'boots', 'year', 'skirt', 'cotton', 'long', 'journeys', 'trouser', 'neon', 'tights', 'fashion', 'colors', 'design', 'variety', 'medium', 'highs', 'work', 'friday', 'leggings', 'girls', 'legs', 'cal', 'different', 'annie', 'products', 'cozy', 'size', 'stockings', 'winter', 'lovely', 'knee', 'thighs', 'big', 'rain', 'touch', 'thick', 'nylons', 'pairs', 'soft', 'monday', 'boot', 'teen', 'black', 'clothing', 'thigh', 'love', 'great']"
Femizee Girls Leather Bows Design Soft Round Toe Princess Dress Mary Jane Flat Shoes(Toddler/Little Kid),"['', 'Product Name: Femizee Girls Leather Bows Design Soft Round Toe Princess Dress Mary Jane Flat Shoes(Toddler/Little Kid) Material: Genuine Leather Style: Girls Summer Flats  Width: D Closure Type: Hook-and-loop Heel Type: Flat Occasion:School,Outdoor,Holiday,Daily...', '(These Girls Flats are carry with CN size, We have convert into US size for your selection) CN Size------------US Size----------Foot Length:  20-------------Toddler Size 4---------11.5cm 21-------------Toddler Size 5---------12cm 22-------------Toddler Size 5.5-------12.5cm 23-------------Toddler Size 6---------13cm 24-------------Toddler Size 6.5-------13.5cm 25-------------Toddler Size 7---------14cm 26-------------Toddler Size 8---------14.5cm 27-------------Toddler Size 8.5-------15cm 28-------------Toddler Size 9---------15.5cm 29-------------Toddler Size 9.5-------16cm 30-------------Toddler Size 10--------16.5cm 31-------------Little Kid Size 11-----17cm 32-------------Little Kid Size 11.5---17.5cm', 'Your little angel will look very cute with a pair of this Femizee girls genuine leather mary jane shoes.It features a durable leather upper,comfortable and breathable lining,a padded footbed and non-skid soft soles.Very comfortable and stylish, great for your little girls everyday wear, their little feet will stay comfortable and protected all-day long! /p>', 'A little about us:  Femizee commit to providing high quality and comfortable,fashion and casual products for growing children. No matter shoes you need,from athletic shoes like running or walking,to dress shoes like mary jane or oxfords,or to slip ons like loafers or flats... let boys and girls companion with Femizee. Growing together!']",Femizee,B01CPE2KLU,"['https://images-na.ssl-images-amazon.com/images/I/51Q7CtPtNkL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bnOn0fl1L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/419zL8iv3PL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51W3iGLUfJL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41KabsU4WuL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Rlfp6577L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Q5b9U1YvL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51H6IbUaY4L._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41j4z6AeuXL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41qYN6ZJ1NL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51GMdAfxJgL._SS47_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4198QUuDagL._SS47_.jpg']",5.0,3.0,"['size------------us', 'skid', '-------16.5', 'material', 'femizee', 'school', 'athletic', '--------14', 'comfortable', 'bows', 'stylish', 'genuine', 'fashion', 'children', '------16', 'wear', 'type', 'product', 'occasion', 'boys', '--17.5', 'style', 'heel', 'high', 'upper', 'length', '------12.5', '--------13', '------------little', 'shoes', 'shoes(toddler', 'd', 'size----------foot', 'loafers', 'cn', '--------15.5', 'girls', 'leather', 'kid', 'mary', 'cm', 'quality', 'great', 'feet', 'oxfords', 'cute', 'width', '------15', 'lining', 'day', '--------12', 'ons', 'flats', 'footbed', 'angel', 'princess', 'soles.very', 'flat', 'dress', 'loop', 'padded', 'size', 'products', 'toe', 'soft', 'round', 'carry', 'summer', '--------11.5', '------------toddler', 'holiday', 'commit', 'selection', 'pair', 'little', '--------14.5', 'jane', 'outdoor', 'breathable', 'casual', 'hook', 'closure', 'shoes.it', 'durable', 'non', 'companion', '----17']"
"Olympia Luggage Rolling Printed Shopper Tote, Black, One Size","['A polka dot print gives this functional shopper tote a fashionable look that can be rolled anywhere. The Olympia Rolling Shopper Tote bag is made from polyester fabric and features a two-tone polka dot print with solid accents, contrast trim, a retractable handle, and in-line skate wheels that make it easy to maneuver. Perfect for overnight trips and casual travel, this roller bag includes a top loading main compartment with a zipper closure, two top grab handles, and front and side mesh pockets that offer storage for small items or personal accessories that you need to keep within easy reach.', 'The perfect shopping companion, this rolling shopper tote makes transporting your items easy. Features a retractable pull handle with hideaway zippered enclosure and ball bearing inline skate wheels.', 'View larger', 'View larger', 'View larger', 'Reinforced recessed metal ball bearing in-line skate wheels for maximum travel mileage.', 'Locking Push-button retractable handle allows easy maneuver and its hide-away zipper pocket allows secured travel when needs to be checked in.', 'Convenient side pocket for easy access to water bottles, umbrellas, and more.']",Olympia,B0019CVHFK,"['https://images-na.ssl-images-amazon.com/images/I/41CBrDm6enL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51kD7k%2BlvJL._SS40_.jpg']",5.0,4.0,"['polyester', 'ball', 'personal', 'tote', 'items', 'look', 'shopping', 'trim', 'small', 'access', 'line', 'bottles', 'shopper', 'perfect', 'compartment', 'print', 'contrast', 'button', 'polka', 'zipper', 'convenient', 'bag', 'olympia', 'overnight', 'larger', 'metal', 'accessories', 'main', 'pull', 'maneuver', 'rolling', 'trips', 'grab', 'handle', 'handles', 'skate', 'tone', 'pocket', 'casual', 'inline', 'easy', 'retractable', 'luggage', 'closure', 'umbrellas', 'fabric', 'fashionable', 'hideaway', 'solid', 'enclosure', 'dot', 'size', 'zippered', 'water', 'view', 'pockets', 'functional', 'maximum', 'reach', 'mileage', 'wheels', 'accents', 'secured', 'companion', 'push', 'roller', 'travel', 'storage', 'black', 'mesh']"
"5.11 Men's PERFORMANCE Short Sleeve Polo Tactical Shirt, Style 71049","['Made of 100% polyester, this performance polo shirt has a slight sheen and stays looking good day in and day out.\xa0 We’ve included all the features of our cotton Tactical Polo including mic clips, fully gusseted sleeves and pen pockets on the left sleeve.\xa0 The Performance Polo shirt fabric is moisture wicking which prevents the growth of odor causing bacteria. Made with our proprietary SmartWeave fabric, the Performance Polo Shirt resists snags and remains wrinkle free.\xa0You can attach your radio microphone to any of the three mic clips on the shoulders and chest placket.\xa0The Performance Polo Shirt has two pen pockets located on the left sleeve.\xa0The synthetic fabric of the Performance Polo Shirts resists stains, tears and snags.\xa0 The no roll collar has flexible stays which keep the collars from rolling at the edges.\xa0 The pen pockets are stitched to endure constant use and all seams are designed for both comfort and durability. 5.11 Tactical Series uses only melamine buttons on the Performance Polo Shirt. Melamine buttons don’t crack or break and can withstand the heat of an iron without melting.\xa0 The stitching and materials used in the construction of the Performance Polo Shirt are of the highest quality demanded by Law Enforcement, Fire and Military personnel. The 5.11 Performance Polo Shirts are the ultimate in comfort and fit.\xa0 We’ve added fully gusseted sleeves to give you full range of motion even when wearing your ballistic vest. Because the Performance Polo Shirt does not wrinkle, shrink or fade, it is an exceptional value.\xa0 Most polo shirts on the market can be worn only a few times before losing their professional look.\xa0 Our proprietary SmartWeave fabric keeps its slight sheen even after multiple washings and the fabric won’t snag or peel, giving it a long life.\xa0 The Performance Polo Shirt outlasts other polo shirts by such a great factor and is so reasonably priced; it just makes sense to wear the best.']",5.11,B0019MNPHS,"['https://images-na.ssl-images-amazon.com/images/I/41wZSo8HREL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31TApgs6adL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31wZY9-BzwL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51S-4ZKH4rL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51A-1C09SqL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bbfNtDTbL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41GHb41nM5L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41C4Q6wgv4L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41NQ-9Dz8VL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41SRhiaHB-L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41RFXYxt%2B8L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31HqNOsHOML._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41RFXYxt%2B8L._SS36_.jpg']",5.0,4.0,"['polyester', 'roll', 'factor', 'look', 'highest', 'personnel', 'shirts', 'collars', 'sleeve', 'pen', 'synthetic', 'features', 'sheen', 'ballistic', 'heat', 'radio', 'buttons', 'range', 'fit', 'times', 'microphone', 'stays', 'melting', 'exceptional', 'melamine', 'washings', 'style', 'bacteria', 'clips', 'snags', 'edges', 'professional', 'stitching', 'long', 'best', 'durability', 'men', 'short', 'odor', 'flexible', 'iron', 'pockets', 'vest', 'use', 'series', 'market', 'left', 'sense', 'quality', 'great', 'seams', 'mic', 'enforcement', 'proprietary', 'growth', 'day', 'wicking', 'wrinkle', 'tears', 'comfort', 'ultimate', 'shoulders', 'sleeves', 'value', 'life', 'shirt', 'chest', 'multiple', 'slight', 'military', 'smartweave', 'good', 'free', 'constant', 'construction', 'polo', 'materials', 'law', 'cotton', 'fire', 'placket', 'tactical', 'fabric', 'stains', 'performance', 'collar', 'moisture', 'motion']"
Grunt Style Basic Men's T-Shirt,"['All Grunt Style items are covered by the ""Beer Guarantee"". What is the Beer Guarantee? It\'s their Too Easy return policy. Your Grunt Style shirts are covered for life. Including tears, holes, loose threads, beer stains, and even blood stains from defending the American Flag from terrorists. Need a different size? Just send it back to us including the size you need. As authorized retailers, we will honor Grunt Style\'s Beer Guarantee.']",Grunt Style,B00TCZIOM0,"['https://images-na.ssl-images-amazon.com/images/I/41Qc2%2Bgw5vL._SR38,50_.jpg']",5.0,3.0,"['policy', 'beer', 'holes', 'items', 'guarantee', 'terrorists', 'flag', 'style', 't', 'basic', 'tears', 'shirts', 'threads', 'men', 'blood', 'american', 'easy', 'return', 'life', 'different', 'size', 'retailers', 'loose', 'stains', 'grunt']"
Psiroy 925 Sterling Silver Created Blue Sapphire Filled Promise Ring,"[""Gorgeous 925 sterling silver plated women's rings.High quality created gemstones, sparkles and shining.Great workmanship, comfortable to wear.Simple and elegant, this ring will captivate anyone who witnesses it.""]",Psiroy,B01568Z8RK,"['https://images-na.ssl-images-amazon.com/images/I/41jizy0DKXL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41eAjbkyMUL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41K-8QOnOLL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Rtz46cZYL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41TAR3UE3xL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41uqfIJ%2BIdL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4108oMo%2BgUL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41HHSbpj5UL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41BkfgTXwxL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41XZu3VnxvL._SS36_.jpg']",5.0,5.0,"['women', 'sparkles', 'shining.great', 'silver', 'gorgeous', 'elegant', 'blue', 'comfortable', 'promise', 'sapphire', 'wear.simple', 'ring', 'psiroy', 'workmanship', 'rings.high', 'quality', 'sterling', 'gemstones']"
Women's 80Denier Semi Opaque Solid Color Footless Pantyhose Tights 2pair,"['* The size error may occur because of the item itself and the metric system of measurement. and the colors could be seen slightly different from its origins. because of computer monitor. Please check it out!', '', '', '', '']",STYLEGAGA,B00TDKH3LC,"['https://images-na.ssl-images-amazon.com/images/I/31-4Z0L3e5L._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/317osusDRQL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21ftJyxey%2BL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/3171sqa6CQL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31J8Zi9oGaL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31TD%2BIwLh-L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21pz6bvyK4L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Km88HfxIL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/311KkDvK-gL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31CSWIXSRYL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31s1b%2BRFqrL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31-yzDXH1-L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31sDlsR59nL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31n8ogeJLDL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51fBtTlznZL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31hXsB0LUUL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31YW6MgR9uL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31ndJhfeJBL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/311-klGrrNL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31ljN-m0bxL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31l4HlRG6rL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31DC2Tt5HFL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41mSfdDf2dL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31JzzhbqLAL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31DRXQqRb1L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/3189fm7oceL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31HX6xBfs5L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31ePED54RML._SX38_SY50_CR,0,0,38,50_.jpg']",5.0,3.0,"['pantyhose', 'women', 'footless', 'error', 'semi', 'tights', 'colors', 'color', 'monitor', 'system', 'origins', 'different', 'solid', 'size', 'measurement', 'metric', 'computer', 'opaque', 'item']"
"Owlette Classic Toddler PJ Masks Costume, Medium/3T-4T","['PJ Masksfollows the thrilling night time exploits of three young friends who transform into their dynamic super hero alter egos, Cat boy, Owlette and Gekko. Here comes Owlette, who is able to see in the dark using Owl Eyes and fly by using Super Owl Wings, which she can also use to launch gusts of air to send opponents flying backward. Now girls can imagine they are their favorite superhero Owlette in this very cool costume']",Disguise,B01BTYS9KS,['https://images-na.ssl-images-amazon.com/images/I/419eDk6PPSL._SS40_.jpg'],5.0,3.0,"['cat', 'egos', 'thrilling', 'superhero', 'air', 'boy', 'friends', 'able', 'owl', 'costume', 'night', 't', 'exploits', 'toddler', 'favorite', 'pj', 'time', 'owlette', 'opponents', 'gusts', 'gekko', 'masks', 'hero', 'wings', 'super', 'girls', 'dark', 'classic', 'eyes', 'young', 'cool', 'dynamic']"
Men's White Decorative Chron Dial Brown Pu Leather Strap Quartz Movement Wrist Watch,"[""Classic Business Casual Design: Combines quality, fashion and value. looks bold and very beautiful, comfort, and very stylish. It's a great gift for family or friends.  PU leather band and has multiple hole sizes to choose from.  Roman number time mark with the simplicity of business casual design, bring you back to the classic. Specification: Dial Color: White Dial Case Diameter: 1.89 inch / 48mm Dial Case Thickness: 0.55 inch / 1.4mm Band Color: Brown Band width: 0.82 inch / 21 mm Band Length: 9.88 inch / 251 mm Band Clasp Type: Buckle Watch Weight: 2.3oz / 65 g""]",SOMEN TUNGSTEN,B00CWVUVMC,"['https://images-na.ssl-images-amazon.com/images/I/61PHMlOXPTL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51u6x6iKAHL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/519bCwWQblL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Y0vOD7r9L._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51b9aKocujL._SR38,50_.jpg']",5.0,3.0,"['band', 'specification', 'friends', 'diameter', 'width', 'mm', 'time', 'length', 'oz', 'stylish', 'beautiful', 'bold', 'comfort', 'sizes', 'buckle', 'simplicity', 'fashion', 'men', 'design', 'g', 'wrist', 'color', 'watch', 'movement', 'pu', 'casual', 'chron', 'value', 'white', 'clasp', 'number', 'decorative', 'leather', 'gift', 'multiple', 'weight', 'case', 'family', 'dial', 'business', 'hole', 'inch', 'strap', 'classic', 'mark', 'brown', 'type', 'roman', 'thickness', 'quartz', 'quality', 'great']"
