title,image,brand,asin,description,rating,nReviews,keywords
BriteSmile Mouth Rinse 14 oz,https://images-na.ssl-images-amazon.com/images/I/61Cx-YV-xzL._SX522_.jpg,BriteSmile,B0010DMNFQ,"['BriteSmile Mouth Rinse is a great addition to the BriteSmile Professional Whitening Product line. This crystal-clear, alcohol-free rinse is specifically formulated for use to maintain your naturally white smile following the BriteSmile treatment.Clear formula - free from dyes and pigments that can stain teethAlcohol-free - mild on sensitive teeth and gumsMint flavor - to help freshen your breath']",4.9904458598726125,314.0,"['crystal', 'mild', 'mouth', 'addition', 'rinse', 'product', 'free', 'britesmile', 'pigments', 'formula', 'smile', 'professional', 'line', 'breath', 'treatment.clear', 'alcohol', 'dyes', 'white', 'great', 'gumsmint', 'teeth', 'oz', 'clear', 'sensitive', 'flavor', 'teethalcohol', 'use']"
"Paul Brown Hawaii Hapuna Hair Styling Paste, 8 Ounce",https://images-na.ssl-images-amazon.com/images/I/51csX4SLk1L._SX355_.jpg,Paul Brown Hawaii,B004LUQRJI,"['Molding creme is a pliable paste that transforms hair texture, adding volume, density and flexibility without weighing hair down. Leave hair shiny and polished. No animal testing and environmental friendly formulation and packaging. Transforms hair texture adding volume, density, and thickness to even the finest, thinnest hair. Contains Kukui nut oil that renew sheen and balance moisture content in hair and scalp. You will achieve your desired look whether smooth and sleek, or thick and voluminous. Professional quality.']",4.984189723320158,253.0,"['hawaii', 'shiny', 'environmental', 'packaging', 'smooth', 'oil', 'styling', 'kukui', 'sheen', 'thick', 'friendly', 'brown', 'quality', 'molding', 'thinnest', 'look', 'ounce', 'paul', 'texture', 'density', 'professional', 'pliable', 'polished', 'thickness', 'volume', 'animal', 'finest', 'moisture', 'balance', 'flexibility', 'testing', 'scalp', 'formulation', 'hair', 'hapuna', 'nut', 'paste', 'creme', 'content', 'sleek', 'voluminous']"
Caswell-Massey - Newport Soap on a Rope,https://images-na.ssl-images-amazon.com/images/I/41WexTblVFL._SX425_.jpg,Caswell-Massey,B000HP01UM,"['Newport soap on rope, 7.5 ounce. Large, long lasting, very fragrant bar of triple-milled, translucent glycerin soap in a beautiful marine blue. White nylon rope slips over the wrist, for convenient and comfortable use in the shower or bath. This generous bar of scented glycerin soap is guaranteed never to get out of hand.']",4.982142857142857,56.0,"['fragrant', 'convenient', 'shower', 'bar', 'blue', 'nylon', 'caswell', 'massey', 'large', 'ounce', 'beautiful', 'generous', 'rope', 'bath', 'milled', 'scented', 'marine', 'comfortable', 'translucent', 'hand', 'white', 'wrist', 'soap', 'lasting', 'glycerin', 'newport', 'use']"
Bridal Wedding Tiara Crown With Crystal Flowers 91756,https://images-na.ssl-images-amazon.com/images/I/716U1KkZDvL._AC_SX355_.jpg,SparklyCrystal,B000WN2T0Y,"['These jeweled wedding tiaras crown are the perfect accessory for wedding, prom, pageant, birthday, or other special occasions.']",4.978260869565218,46.0,"['wedding', 'occasions', 'special', 'crystal', 'flowers', 'jeweled', 'accessory', 'bridal', 'crown', 'tiara', 'pageant', 'prom', 'tiaras', 'birthday', 'perfect']"
Finipil LAIT 50 Antiseptic Cream 4pk- 44 ml each,https://images-na.ssl-images-amazon.com/images/I/81j2M2DkHCL._SX569_.jpg,Nufree,B006YGCSKO,"['Finipil is an antibacterial - antimicrobial treatment after hair removal. This patented formula is 100% effective as an antibacterial and antimicrobial treatment. It destroys such bacteria as Staph-aureus, Pseudomonas aeruginosa and E. coli. Finipil destroys fungus and yeast including Aspergillus niger and Candida alibicans. This product cools and shrinks and reduces swelling, breaks fats and oils to prevent clogging. Protects the hair follicle, gets rid of in-grown hairs and prevents new ones.\n\nDUE TO PERSONAL HYGIENE REASONS AND THE NATURE OF THIS PRODUCT, NO RETURNS, REFUNDS OR EXCHANGES PLEASE']",4.893617021276596,47.0,"['e.', 'lait', 'ones', 'hairs', 'ml', 'follicle', 'aspergillus', 'personal', 'product', 'aeruginosa', 'candida', 'patented', 'finipil', 'oils', 'hygiene', 'treatment', 'formula', 'alibicans', 'returns', 'coli', 'staph', 'aureus', 'exchanges', 'antimicrobial', 'antibacterial', 'refunds', 'fungus', 'cream', 'niger', 'clogging', 'nature', 'fats', 'effective', 'antiseptic', '4pk-', 'hair', 'new', 'removal', 'yeast', 'bacteria', 'reasons', 'pseudomonas']"
Mosher Salon Tools Rubber Coated No-slip Grip Croc Hair Styling Clips Black12 Pack,https://images-na.ssl-images-amazon.com/images/I/612XkRMOjeL._SX355_.jpg,Mosher Salon Tools,B01HC6G4D6,"[""Unique double-hinged design. Holds large amounts of hair.Perfect for clipping foils up and away during hair color applications.Great for sectioning hair. Works especially well for fine sections and around the hairline. Every stylist needs clips to section and separate their client's hair for many types of processing. These clips have a unique double-hinged design They have two springs that allow them to automatically adjust to hold any kind of hair regardless of amount, thickness, or type.""]",4.885714285714286,140.0,"['salon', 'springs', 'sections', 'color', 'slip', 'client', 'grip', 'stylist', 'styling', 'hairline', 'type', 'kind', 'large', 'rubber', 'clips', 'processing', 'unique', 'foils', 'thickness', 'croc', 'applications.great', 'black12', 'amounts', 'design', 'tools', 'hinged', 'hair.perfect', 'hair', 'fine', 'mosher', 'double', 'works', 'section', 'types']"
"Ear Piercing Earrings Gold 5mm Clear CZ Studs ""Studex System 75"" Hypoallergenic",https://images-na.ssl-images-amazon.com/images/I/51g0f6-a7nL._SX355_.jpg,Studex,B01CW24JXC,['Studex System 75 ear piercing stud Cubic Zirconia 24k gold electroplate. 5mm size Retail charge: $45-$55'],4.872340425531915,47.0,"['cubic', 'piercing', 'hypoallergenic', 'ear', '24k', 'earrings', 'zirconia', 'size', 'system', 'electroplate', 'gold', 'studex', 'retail', 'charge', 'mm', 'cz', 'studs', 'stud', 'clear']"
"Water Flosser, Electric Cordless & Rechargeable Portable Oral Irrigator With 3 Modes & 4 Jet Tips, IPX7 Waterproof for Kids and People with Braces",https://images-na.ssl-images-amazon.com/images/I/61pvgh63N1L._SY355_.jpg,Greenvida,B00EC9XKNY,"['Product descriptionColor:WhiteGreenvida Cordless & Rechargeable Portable Water Flosser / Water Pick / Oral Irrigator with 3 Operating ModesGreenvida is more effective to protect your teeth and gum health everyday! It can clean deep between teeth and below the gumline, removing harmful bacteria and debris which traditional brushing and flossing can\'t reach. Multiple intelligent design brings you the unprecedented experience- 3 operating modes. Normal, Soft and Pulse modes are selectable for different oral care needs. Pulse mode provides water pressure 40-120psi to massage the gums to improve oral health.- 2 minutes auto shut-off timer. You would never worry about running out of water but forget to turn the device off. Greenvida could protect the battery by automatically turning off if it keeps working for over two minutes.- Low noise design. Less than 75dB without disturbing noise. It\'s perfect for use in smaller bathrooms or for travel. You don\'t have to use water flosser before your family all sleep.Impressive practicability performance- Build-in 1400mAh Li-ion rechargeable batteries, once fully charged within 8h and it\'s available for 2 weeks\' using. - Greenvida is rechargeable & worldwide universal, the universal operating voltage from 100V to 240V. The USB cable could connect 5V power adaptor & power bank. The special USB cable and charger adaptor are included. - It is IPX7 waterproof so that you would no longer worry about using it in your bathroom. *Note: The device can not be soaked in water.How to use the water flosser1.Fill the water tank.2.Attach nozzle on the unit.3.Press ""Mode"" button to select the mode you need.4.Directing the water jet flow at 90 to the teeth and gums. Package Included1 X Cordless Water Flosser4 X Relacement Nozzles1 X USB Cable1 X Instruction Book1 X 5V Adaptor1 X Woven Bag']",4.861538461538461,65.0,"['ion', 'braces', 'travel', 'device', 'noise', 'cable1', 'voltage', 'adaptor1', 'usb', 'bank', 'harmful', 'water.how', 'kids', 'worldwide', 'operating', 'effective', 'package', 'bag', 'health.-', '5v', 'portable', 'care', 'electric', 'health', 'bacteria', 'nozzles1', 'debris', 'experience-', '100v', 'jet', 'batteries', 'cable', 'build', 'available', 'traditional', 'modesgreenvida', 'rechargeable', 'tips', 'instruction', 'brushing', 'li', 'auto', 'power', 'ipx7', 'special', 'intelligent', 'teeth', 'multiple', 'perfect', 'gumline', 'weeks', 'nozzle', 'flossing', 'adaptor', 'button', 'mode', 'waterproof', 'selectable', 'whitegreenvida', 'unprecedented', 'descriptioncolor', 'family', 'oral', 'flosser', 'modes', 'bathrooms', 'smaller', 'flosser4', 'irrigator', 'pick', 'minutes', 'book1', 'flow', 'x', 'practicability', 'gums', 'use', 'cordless', 'greenvida', 'relacement', 'charger', 'product', 'needs', 'unit.3.press', '75db', 'note', 'normal', 'battery', 'gum', 'people', 'universal', 'performance-', 'water', 'design', 'pulse', 'pressure', 'different', 'soft', 'sleep.impressive', 'low', 'bathroom', 'included1', '240v', 'timer']"
Feather Nape and Body Razor Kit,https://images-na.ssl-images-amazon.com/images/I/71NKfEx30AL._SY679_.jpg,Feather,B003BQOT8Y,['Jatai feather nape and body razor hair clippers trimmers and groomers.'],4.8604651162790695,43.0,"['feather', 'hair', 'trimmers', 'razor', 'nape', 'body', 'jatai', 'groomers', 'clippers', 'kit']"
Wibi Dry Skin Lotion 16 Oz,https://images-na.ssl-images-amazon.com/images/I/51Me4gvZRmL._SY355_.jpg,Wibi,B0000Y3LQ6,['Wibi dry skin moisturizing lotion. Wibi is a greaseless lotion which gives balanced moisture to dry skin. Disappears quickly into the skin leaving a dewy coolness without greasy oils.'],4.8507462686567155,67.0,"['greasy', 'wibi', 'greaseless', 'moisturizing', 'moisture', 'balanced', 'oz', 'coolness', 'oils', 'lotion', 'skin', 'dry', 'dewy']"
