title,description,brand,asin,image,rating,nReviews,keywords
"Paksh Novelty 1-Gallon Glass Jar Wide Mouth with Airtight Plastic Lid - USDA Approved BPA-Free Dishwasher Safe Mason Jar for Fermenting, Kombucha, Kefir, Storing and Canning Uses, Clear","['This large gallon glass jar is your a-1 choice for many things, from fermenting kombucha, to canning, pickling, preserving to just storing. With the wide mouth, reaching inside the jar is practically a cinch! The clear jar seals tightly making no room for spoilage.The glass is USDA approved, not heat treated and dishwasher safe for your benefit! Enjoy this satisfactory jar for all your needs!']",Paksh Novelty,B00Q59FJHO,"['https://images-na.ssl-images-amazon.com/images/I/61yvkXSATVL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51wqKC1rM%2BL._SS40_.jpg']",5.0,9.0,"['kombucha', 'novelty', 'things', 'pickling', 'needs', 'plastic', 'safe', 'free', 'wide', 'airtight', 'paksh', 'choice', 'satisfactory', 'kefir', 'benefit', 'canning', 'lid', 'fermenting', 'clear', 'a-1', 'glass', 'large', 'usda', 'gallon', 'room', 'cinch', 'mouth', 'dishwasher', 'mason', 'bpa', 'jar']"
Safavieh Paris Shag Collection SG511-2727 Chocolate Polyester Area Rug (2' x 3'),"['Celebrating the glitz and glam of old-world Hollywood, the Paris Shag Collection of area rugs radiates opulence from every angle. Designed with an eye toward French Modern style, these solid-colored shag rugs are stylishly textured. Create an intimate atmosphere in the living room, dining room, home office, bedroom, foyer, or nursery.  Lush enhanced polyester fibers grace the rugs canvas to provide a smooth comfortable surface underfoot. Handmade by skilled artisans, this rug has a 2.5-inch flowing pile height and a durable cotton canvas backing. Indulge and invest in a shag rug made for its luxurious comfort and glamorous look.  Glamorous shag rug works beautifully in any home Expert hand-tufted construction Enhanced polyester fibers provide a silky sheen Soft 2.5-inch pile-inch flowing pile height Cotton canvas backing Perfect for any Room: Living Room, Bedroom, Dining Room, Nursery, Foyer, or Home Office Handmade in China A rug pad is recommended']",Safavieh,B0051HDVNK,"['https://images-na.ssl-images-amazon.com/images/I/51zCe8mmnYL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61%2BZqtbT%2BHL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61mKSyP8ZjL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51SW3-uuWsL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51lxSGKbB-L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61odNMpTWbL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61be5CGyGoL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61OYTJ-Ho8L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51d75l4I89L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51j10i-m63L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51VPihFsqVL._SS36_.jpg']",5.0,8.0,"['glam', 'hand', 'perfect', 'artisans', 'pad', 'hollywood', 'handmade', 'surface', 'cotton', 'opulence', 'luxurious', 'glamorous', 'atmosphere', 'height', 'colored', 'flowing', 'china', 'comfort', 'chocolate', 'modern', 'silky', 'dining', 'area', 'rugs', 'paris', 'expert', 'intimate', 'underfoot', 'collection', 'french', 'lush', 'comfortable', 'home', 'construction', 'angle', 'pile', 'polyester', 'solid', 'bedroom', 'living', 'world', 'look', 'old', 'fibers', 'canvas', 'inch', 'backing', 'skilled', 'smooth', 'glitz', 'safavieh', 'sg511', 'nursery', 'room', 'office', 'rug', 'sheen', 'soft', 'shag', 'style', 'foyer', 'durable', 'eye']"
"DecoBros Kitchen Houseware Organizer Pantry Rack, Bronze",['DecBros Kitchen organizer is good tool for you to organize cutting board and cookie sheets.'],Deco Brothers,B00YB02SBE,"['https://images-na.ssl-images-amazon.com/images/I/4107vOkJQrL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41H647MQoBL._SS40_.jpg']",5.0,5.0,"['organizer', 'pantry', 'cookie', 'board', 'kitchen', 'sheets', 'good', 'bronze', 'decobros', 'rack', 'tool', 'decbros', 'houseware']"
"Italian Collection Deluxe 100% Cotton Down Alternative Fitted Mattress Pad, Twin","['', ""DELUXE 100% Cotton Down Alternative Fitted Mattress Pad  The Deluxe Mattress Pad adds Pillow-top softness that pampers you, while protecting your mattress! Discover a new dimension in comfort with this extra-cushiony, deeply quilted mattress pad. The luxurious filling has the plush feel of down, but it's easy-care, lofty down alternative. The DELUXE Mattress cover offers durable, long-lasting comfort night after night."", 'HYPOALLERGENIC   this Mattress Pads are 100% hypoallergenic, they are made with natural materials to reduce the risk of any allergic responses you may have while sleeping on these Mattress Pads.', 'QUALITY   This Mattress Pads Top is made of soft white 100% cotton, and is filled with the top-of-the-line in hypoallergenic Cluster Fiber, a premium loose-fill polyfiber designed to give both softness and support', '1800 Premium Hotel Bedding Collection Light to touch, cool and exceptional strength you can count on, our duvet cover sets assure you a great nights sleep. Designed with simple sophistication and ability to retain its vibrancy these brushed microfiber collections are the ultimate for light weight, crisp sleeping comfort.', 'Check out the reviews and see for yourself what Costumers are saying.   ""Probably the best investment I have made to on top of my pillow top mattress. I absolutely love it and it\'s extremely comfortable!"" ""Best Customer service on Amazon"".', 'Satisfaction Guaranteed No Questions Asked,   Our 100% No hassle Money Back or Replacement is best in the business, in fact we have a staff dedicated just to make sure that you are fully satisfied. We will not rest until you are able to rest!', 'Choose Quality - Choose Comfort! Order now while supplies last!']",Italian Collection,B00BM9D0M8,"['https://images-na.ssl-images-amazon.com/images/I/31bUSBh1TCL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41BX5LX1PgL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/3176fS3YWwL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/416jM0-VE-L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51KBmL2gjvL._SS40_.jpg']",5.0,5.0,"['bedding', 'duvet', 'hypoallergenic', 'weight', 'best', 'comfort', 'nights', 'feel', 'polyfiber', 'great', 'line', 'pads', 'fill', 'sets', 'natural', 'extra', 'replacement', 'white', 'cover', 'cotton', 'dimension', 'exceptional', 'satisfaction', 'amazon', 'deluxe', 'new', 'light', 'lofty', 'ability', 'comfortable', 'hotel', 'hassle', 'satisfied', 'money', 'ultimate', 'italian', 'customer', 'allergic', 'pad', 'sure', 'easy', 'fiber', 'materials', 'able', 'questions', 'luxurious', 'service', 'pillow', 'cluster', 'sophistication', 'risk', 'business', 'premium', 'staff', 'quilted', 'twin', 'care', 'costumers', 'supplies', 'order', 'reviews', 'soft', 'fact', 'night', 'softness', 'microfiber', 'responses', 'cushiony', 'mattress', 'quality', 'crisp', 'investment', 'plush', 'vibrancy', 'collections', 'filling', 'collection', 'support', 'sleeping', 'strength', 'loose', 'simple', 'alternative', 'cool', 'durable']"
"10"" Stone Earth Frying Pan by Ozeri, with 100% APEO & PFOA-Free Stone-Derived Non-Stick Coating from Germany","[""Utilizing STONEHENGE -- a stone-derived coating from Germany, the Stone Earth Pan by Ozeri is the worlds leading frying pan, delivering non-stick perfection while remaining absolutely free of APEO and PFOA, and even lesser known chemicals such as NMP and NEP. Conventional pans often achieve their non-stick performance with the aid of PFOA (PerFluoroOctanoic Acid), a potential carcinogen which the EPA has classified as a 'persistent pollutant of the environment', and APEO (Alkylphenol ethoxylates), which are under restricted use in Germany due to environmental concerns about their poor biodegradability and toxicity in the food chain. According to the EPA, once ingested, PFOA is capable of remaining in people for a very long time, and has been shown to cause developmental and other adverse effects in laboratory animals. Likewise, European studies have shown that APEO may be toxic to aquatic life, and has the potential to act as endocrine disrupters. With the Stone Earth Pan's stone-derived coating from Germany, no such controversial chemicals are ever passed on to you, or released into the environment. This is because the Stone Earth Pan utilizes an inert coating inspired by nature, and applied using a water based Sol Gel Technique that is free of the lesser known but potentially harmful chemicals NMP (N-Methyl-2-pyrrolidone) and NEP (N-ethyl-2-pyrrolidone) often found in traditional cookware. In addition to being completely free of PFOA, APEO, NMP and NEP, the Stone Earth Pan is also far more durable and scratch-resistant than other non-stick surfaces. With better non-stick properties, the Stone Earth Pan allows you to saute, fry, bake, boil and braise with as little as half the amount of oil normally used, and cleaning is a breeze. The Stone Earth Pan by Ozeri is made of the highest quality die-cast aluminum that allows for even cooking and fantastic browning without hot spots. It boasts a magnetized bottom for rapid heat transfer on induction stoves, and a heat resistant silicone coated handle. Your satisfaction is guaranteed. STONEHENGE coating made by Weilburger GmbH, Germany. Final pan assembly in China.""]",Ozeri,B00BK89AYS,"['https://images-na.ssl-images-amazon.com/images/I/41j0H4PAfnL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41GMr4eMuSL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51fRcaKTddL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/419c7Be0rbL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41gZc5quvsL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41F-txDa3xL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41KluGmpfEL._SS36_.jpg']",5.0,9.0,"['concerns', 'hot', 'known', 'worlds', 'carcinogen', 'technique', 'apeo', 'gel', 'capable', 'rapid', 'laboratory', 'controversial', 'sol', 'induction', 'effects', 'toxicity', 'magnetized', 'coating', 'resistant', 'toxic', 'surfaces', 'inert', 'aid', 'satisfaction', 'studies', 'developmental', 'nature', 'chain', 'cleaning', 'nmp', 'acid', 'better', 'aquatic', 'use', 'assembly', 'ethyl-2-pyrrolidone', 'disrupters', 'conventional', 'oil', 'traditional', 'gmbh', 'highest', 'weilburger', 'chemicals', 'fantastic', 'environmental', 'nep', 'pans', 'water', 'earth', 'final', 'scratch', 'biodegradability', 'stonehenge', 'aluminum', 'silicone', 'china', 'little', 'cookware', 'performance', 'pollutant', 'european', 'time', 'browning', 'stone', 'life', 'stoves', 'food', 'pfoa', 'persistent', 'handle', 'perfluorooctanoic', 'spots', 'animals', 'quality', 'heat', 'poor', 'epa', 'free', 'perfection', 'endocrine', 'adverse', 'transfer', 'stick', 'non', 'ozeri', 'long', 'environment', 'people', 'methyl-2-pyrrolidone', 'ethoxylates', 'properties', 'potential', 'harmful', 'addition', 'breeze', 'germany', 'pan', 'alkylphenol', 'n', 'durable', 'frying']"
"Freshware CB-600RD 8-Cavity Leaf Shape Silicone Mold for Making Soap, Candle, Candy, Chocolate, and More","['', 'Create your own special sweets or homemade soaps with the Freshware CB-600RD 8-Cavity Silicone Maple Leaves Chocolate, Candy and Gummy Mold. This mold is constructed with 100% pure, professional quality food-grade silicone, which meets US FDA and European LFGB safety standards (BPA, PVC and Phthalate FREE). Simply pour your favorite recipe in the mold, prepare, and cool completely. Then turn it upside down, this flexible silicone mold offers a non-stick surface that allows the sweets to pop right out with a little push from the bottom. Remember to place the silicone mold on a baking sheet for easier positioning and removal.', 'Mold Size: 8.6 x 4.6 x 0.6 inch. Cavity Size: 1.6 x 1.5 x 0.6 inch. Volume: 8 x 0.3 oz, Total 2.4 oz.', 'Many customers have found creative ways to use Freshware silicone molds (depending upon the shape) to create delicious chocolates, candies, gummies, butters, caramels, ice cubes, frozen baby foods, gelatin, ice creams etc. Other customers use the molds in unique ways to create clays, resin casting, candles, soaps and more.', 'All Freshware silicone products DO NOT have Chemical Coatings and are Pinch Test Passed. Our silicone mold handles temperature from -40 to +446 degrees Fahrenheit (-40 to +230 degrees Celsius). Reusable for up to 3,000 uses, our molds save money by eliminating the need to ever buy disposable paper liners again. Safe to use in the Oven, Refrigerator, Freezer, Microwave, Steamer and Dishwasher. Top rack dishwasher safe, but hand washing is recommended to extend the life of the product.', 'What Is A Pinch Test? Cheaper brands often use plastic fillers in their silicone products, so it is not safe for high-temperature baking. Pinch and twist a bit of the silicone, if it turns white, its got fillers as 100% pure silicone will retain its color.']",Freshware,B00BCCH75Q,"['https://images-na.ssl-images-amazon.com/images/I/41T7ArBhMoL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51DGshVuepL._SS40_.jpg']",5.0,6.0,"['cheaper', 'molds', 'cb-600rd', 'positioning', 'surface', 'uses', 'chocolate', 'ice', 'pvc', 'creative', 'lfgb', 'liners', 'phthalate', 'shape', 'gummies', 'white', 'grade', 'temperature', 'maple', 'sheet', 'easier', 'candle', 'microwave', 'gelatin', 'unique', 'leaf', 'total', 'fda', 'refrigerator', 'color', '+230', 'chocolates', 'clays', 'favorite', 'brands', 'fillers', 'money', 'product', 'creams', 'dishwasher', 'standards', 'test', '+446', 'soaps', 'push', 'freshware', 'safe', 'plastic', 'products', 'pinch', 'silicone', '-40', 'homemade', 'butters', 'little', 'flexible', 'delicious', 'freezer', 'european', 'resin', 'cavity', 'oz', 'foods', 'recipe', 'life', 'removal', 'food', 'gummy', 'baby', 'bit', 'soap', 'hand', 'oven', 'quality', 'celsius', 'rack', 'washing', 'baking', 'candy', 'high', 'free', 'professional', 'fahrenheit', 'cubes', 'stick', 'casting', 'non', 'coatings', 'chemical', 'frozen', 'mold', 'need', 'candies', 'customers', 'disposable', 'caramels', 'candles', 'sweets', 'special', 'volume', 'inch', 'ways', 'safety', 'size', 'reusable', 'steamer', 'degrees', 'paper', 'pure', 'bpa']"
"ExceptionalSheets Cozy Beddings 3-Piece Borrego Sherpa/Berber Throw Blanket and Down Alternative Mini Comforter Set, Queen, Black",['Snuggle up under this Sherpa blanket and stay warm all winter. This reversible Down Alternative Comforter Set features soft Sherpa/Berber material on one side and super micro fiber polyester on the other side. The blanket is available in your choice of Twin Full/Queen or king Sizes. This Down Alternative Comforter/Blanket/Throw/Duvet Insert is treated with an anti-microbial finish to repel dust miles and is ideal for allergy sufferers.'],ExceptionalSheets,B00AQA0TW8,"['https://images-na.ssl-images-amazon.com/images/I/51jhDPqgC4L._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41GyjB0vtrL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51hZbLaZzEL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41FB-h2uBYL._SS36_.jpg']",5.0,5.0,"['queen', 'black', 'reversible', 'duvet', 'microbial', 'fiber', 'available', 'sizes', 'king', 'berber', 'anti', 'dust', 'borrego', 'blanket', 'choice', 'sufferers', 'winter', 'finish', 'cozy', 'insert', 'twin', 'super', 'polyester', 'beddings', 'warm', 'miles', 'soft', 'sherpa', 'throw', 'allergy', 'set', 'alternative', 'comforter', 'material', 'mini', 'ideal', 'micro']"
Midori Way Thick Bamboo Wood Cutting Board with Juice Grooves - Extra Large 18x12 inches,"['This extra large strong, thick, but beautiful bamboo cutting board is moisture resistant and will last for years. We chose Bamboo because it is one of the most renewable resources on our planet. Our bamboo is raised without pesticides and crafted into this beautiful cutting board without the use of phthalates, formaldehyde or toxic dyes and stains found on many other kitchen prep surfaces. Our eco-friendly board is attractive yet functional - allowing you to cut, chop, prep, and serve your food on the same board. Bamboo is easy on knives, but stronger than maple. This two-colored, grooved organic cutting board makes a great gift idea! CARE INSTRUCTIONS: We take great pride in the quality of our products, and with proper care your Midori Way bamboo should provide a lifetime of enjoyment and use. Our bamboo is treated with a light mineral oil application before it leaves our factory, so it arrives ready for you to use! Some tips for proper care of your bamboo board: - Coat the bamboo with a food-safe mineral oil. - Hand wash with gentle dish soap and warm water. - Avoid soaking your board, and NEVER use the dishwasher!']",Midori Way,B010A5JP5K,"['https://images-na.ssl-images-amazon.com/images/I/51PIMSlnZaL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/617UJFr6OHL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61OlwbnfaeL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/516XVXNvvtL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51nvwX7EYDL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51WcvlzvwBL._SS40_.jpg']",5.0,7.0,"['hand', 'easy', 'moisture', 'maple', 'pride', 'mineral', 'application', 'water', 'quality', 'wood', 'bamboo', 'ready', 'years', 'dish', 'safe', 'renewable', 'resources', 'products', 'knives', 'colored', 'gift', 'light', 'eco', 'organic', 'way', 'friendly', 'kitchen', 'proper', 'instructions', 'lifetime', 'great', 'use', 'beautiful', 'cutting', 'dyes', 'board', 'thick', 'juice', 'inches', 'large', 'care', 'phthalates', 'functional', 'stains', 'prep', 'strong', 'food', 'enjoyment', 'pesticides', 'oil', 'extra', 'factory', 'warm', 'tips', 'wash', 'attractive', 'stronger', 'soap', 'grooves', 'resistant', 'dishwasher', 'planet', 'formaldehyde', 'toxic', 'midori', 'surfaces', 'chop', 'gentle', 'idea']"
"simplehuman 30 Liter / 8 Gallon Under Counter Kitchen Pull-Out Trash Can, Heavy-Duty Steel Frame","['Out of Sight Trash', 'The simplehuman 30 liter/ 8 gallon under counter kitchen pull-out garbage can keeps trash concealed inside the cabinet. It is the perfect waste bin for installing in your kitchen cabinet to throw away rubbish in your home and keep it hidden.', 'This trash can has an easy-to-install, tough all-steel frame that glides fully out of the cabinet on smooth commercial-grade ball-bearing tracks for quick and easy access.', 'simplehuman Code K trash can liners are a perfect fit for this trash can. They are made from extra-durable plastic with thick double seams to prevent rips and tears and have been rated among the top in strength comparable to other major brands. Extra strong to keep garbage in the bag  not on the floor or the bottom of your trash can.', ""We design tools that help people become more efficient at home. Day to day life has room for improvement. That's the basic thinking behind simplehuman. Many activities in our daily routine are so basic that we take them for granted. Washing our hands, cleaning up after a meal, grooming and prepping our appearance. Through innovation and new technologies, we find ways to streamline these simple tasks. We call our products tools for efficient living.""]",simplehuman,B0002XD08Y,"['https://images-na.ssl-images-amazon.com/images/I/41thv1mvDML._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41lBfPfuyYL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31KcFSNEXoL._SS40_.jpg']",5.0,5.0,"['ball', 'perfect', 'rips', 'easy', 'tracks', 'heavy', 'thinking', 'cabinet', 'code', 'plastic', 'bag', 'products', 'counter', 'hands', 'new', 'comparable', 'improvement', 'ways', 'efficient', 'fit', 'k', 'kitchen', 'pull', 'access', 'frame', 'day', 'innovation', 'trash', 'seams', 'double', 'tasks', 'sight', 'home', 'floor', 'technologies', 'thick', 'people', 'duty', 'liners', 'rubbish', 'grooming', 'life', 'garbage', 'living', 'brands', 'strong', 'steel', 'gallon', 'extra', 'tough', 'simplehuman', 'smooth', 'tears', 'waste', 'quick', 'bin', 'strength', 'major', 'room', 'daily', 'simple', 'commercial', 'meal', 'appearance', 'tools', 'activities', 'grade', 'liter', 'routine', 'durable', 'basic']"
YestBuy 4 Tier Maypole Round Wedding Party Tree Tower Acrylic Cupcake Display Stand (18.7 Inches),"['PRODUCT DESCRIPTION   Dress up any gathering with a sophisticated dessert arrangement Impress your guests with this stunning Acrylic Cupcake Tower by YEST Baking. This elegant 4-Tier cupcake tree is perfect for hors d\'oeuvres, petit fours or as many as 38 standard-size cupcakes. Serving a delectable selection of treats on this sturdy dessert stand makes an eye-catching centerpiece, while optimizing table space at weddings, birthday parties, baby showers and corporate meetings.   Versatile and durableThe YEST 4-Tier Cupcake Tower uses sturdy 4mm acrylic on a central rod design for the most stable and reliable cupcake stand. This also gives our cupcake tower superior scratch and impact resistance to prevent breakage. Our handy party accessory assembles in minutes by screwing together the center rods of each tier. Assemble only as many tiers as you need, whether it is 2, 3 or all 4. Roomy 6"" clearance between tiers let guests serve themselves without disrupting your arrangement or knocking anything onto the table. Overall dimensions when fully assembled are 18.7""H x 12""W x 12""D, and the 4 individual tiers have diameters of 6"", 8"", 10"" and 12"". Clean your disassembled YEST Cupcake Tower easily in your dishwasher and then store flat in a kitchen cupboard. Your entire kit contains: 4 tier plates; 3 rod pillar assemblies; 2 head screws; 2 double screws; and 4 non-marring rubber feet.   For after-sale support, YEST is the BESTWe take great care in packaging our product to prevent damage, but if you experience any issues with your new Cupcake Tower we want to work with you to resolve them. We pride ourselves on exceptional Customer Service and a superior product.   Add the YEST 4-Tier Acrylic Cupcake Tower to your cart today, and turn any gathering into a memorable event.']",YestBuy,B011ARKWK4,"['https://images-na.ssl-images-amazon.com/images/I/416gd0vV0gL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41SNpJFdDQL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51MTx7S6I0L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51rZFpNWfgL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/511SxE58K6L._SS40_.jpg']",5.0,9.0,"['feet', 'pillar', 'kit', 'mm', 'sale', 'cupboard', 'versatile', 'wedding', 'central', 'tiers', 'issues', 'kitchen', 'stable', 'great', 'tree', 'design', 'standard', 'double', 'treats', 'party', 'stunning', 'round', 'showers', 'damage', 'tier', 'acrylic', 'gathering', 'sturdy', 'diameters', 'entire', 'exceptional', 'sophisticated', 'yestbuy', 'new', 'cupcakes', 'yest', 'parties', 'rod', 'tower', 'rods', 'event', 'description', 'space', 'inches', 'plates', 'assemblies', 'product', 'dishwasher', 'birthday', 'customer', 'bestwe', 'table', 'flat', 'eye', 'perfect', 'breakage', 'fours', 'scratch', 'display', 'service', 'guests', 'corporate', 'petit', 'accessory', 'elegant', 'superior', 'dessert', 'minutes', 'care', 'reliable', 'head', 'baby', 'maypole', 'roomy', 'memorable', 'clearance', 'marring', 'meetings', 'overall', 'screws', 'cart', 'handy', 'baking', 'individual', 'dimensions', 'center', 'non', 'selection', 'durablethe', 'rubber', 'support', 'delectable', 'cupcake', 'resistance', 'impact', 'size', 'arrangement', 'today', 'dress', 'stand', 'weddings', 'centerpiece']"
