title,description,brand,asin,image,rating,nReviews,keywords
Michael Kors Watches Bradshaw Watch,"['A stainless steel bracelet and a striking dial make this Michael Kors watch perfect for day to evening use. The MICHAEL Michael Kors Bradshaw watch features a stainless steel link bracelet with a deployant buckle closure and a sleek round dial. This watch is crafted with a stainless steel case and features an elegant and sophisticated sunray dial detailed with alternating Roman numeral and stick hour markers, a small Michael Kors logo near the top, and chronograph function with three sub dials. Water resistant up to 10 ATM, this versatile watch complements any casual, professional, or dressy outfit and can be worn for everyday use.']",Michael Kors,B006IWDWGS,https://images-na.ssl-images-amazon.com/images/I/819JCzLN27L._AC_UX385_.jpg,5.0,3.0,"['dial', 'sophisticated', 'small', 'function', 'casual', 'dials', 'hour', 'outfit', 'sleek', 'use', 'chronograph', 'kors', 'michael', 'resistant', 'atm', 'dressy', 'logo', 'numeral', 'markers', 'round', 'perfect', 'buckle', 'deployant', 'roman', 'evening', 'watch', 'versatile', 'link', 'water', 'stainless', 'sub', 'bracelet', 'closure', 'bradshaw', 'elegant', 'case', 'everyday', 'striking', 'professional', 'sunray', 'day', 'steel']"
Lovely Annie Women's 4 Pairs Pack Knee High Cotton Boot Socks 6-9,"[""True stay-on women's knee high cotton boot socks with different colors to produce stylish design all year around! These knee-high cotton socks are very soft and cozy around your legs. A variety of colors to match well with your shoes and clothing from Monday to Friday! Work best with small to medium cal with comfortable touch. Great elasticity to accomodate US size 6 to 9 or even 10! Try it on and you will fall in love with them guaranteed!"", 'Other similar products we carry: knee high socks boot socks high black boots high black socks tube socks stockings for women stockings thigh high cute knee length dresses high socks leggings for women leggings for girls fashion boots for women women knee high boots knee socks teen tube neon socks thick thighs women boot socks girls knee high socks girls knee socks flats socks rain boot socks trouser socks women thigh high stockings thigh highs stocking thigh stocking thigh high winter stockings big thighs journeys socks women stockings black tube skirt combat boot socks nylons knee high running boots thigh boots thigh high boots for women thigh high tights thigh socks comfortable socks striped socks knee socks for women women long socks high cotton women socks']",Henny Rue,B01CB052QS,https://images-na.ssl-images-amazon.com/images/I/81BCzHtpEmL._AC_UX466_.jpg,5.0,3.0,"['thigh', 'highs', 'long', 'elasticity', 'leggings', 'small', 'trouser', 'journeys', 'cotton', 'legs', 'black', 'love', 'socks', 'touch', 'nylons', 'boot', 'design', 'stylish', 'rain', 'true', 'thick', 'combat', 'winter', 'medium', 'cozy', 'comfortable', 'variety', 'fashion', 'flats', 'friday', 'neon', 'cute', 'annie', 'lovely', 'different', 'products', 'teen', 'stockings', 'tube', 'tights', 'clothing', 'similar', 'cal', 'high', 'shoes', 'colors', 'knee', 'monday', 'big', 'size', 'soft', 'boots', 'girls', 'pairs', 'year', 'thighs', 'work', 'great', 'women', 'skirt', 'length']"
Femizee Girls Leather Bows Design Soft Round Toe Princess Dress Mary Jane Flat Shoes(Toddler/Little Kid),"['', 'Product Name: Femizee Girls Leather Bows Design Soft Round Toe Princess Dress Mary Jane Flat Shoes(Toddler/Little Kid) Material: Genuine Leather Style: Girls Summer Flats  Width: D Closure Type: Hook-and-loop Heel Type: Flat Occasion:School,Outdoor,Holiday,Daily...', '(These Girls Flats are carry with CN size, We have convert into US size for your selection) CN Size------------US Size----------Foot Length:  20-------------Toddler Size 4---------11.5cm 21-------------Toddler Size 5---------12cm 22-------------Toddler Size 5.5-------12.5cm 23-------------Toddler Size 6---------13cm 24-------------Toddler Size 6.5-------13.5cm 25-------------Toddler Size 7---------14cm 26-------------Toddler Size 8---------14.5cm 27-------------Toddler Size 8.5-------15cm 28-------------Toddler Size 9---------15.5cm 29-------------Toddler Size 9.5-------16cm 30-------------Toddler Size 10--------16.5cm 31-------------Little Kid Size 11-----17cm 32-------------Little Kid Size 11.5---17.5cm', 'Your little angel will look very cute with a pair of this Femizee girls genuine leather mary jane shoes.It features a durable leather upper,comfortable and breathable lining,a padded footbed and non-skid soft soles.Very comfortable and stylish, great for your little girls everyday wear, their little feet will stay comfortable and protected all-day long! /p>', 'A little about us:  Femizee commit to providing high quality and comfortable,fashion and casual products for growing children. No matter shoes you need,from athletic shoes like running or walking,to dress shoes like mary jane or oxfords,or to slip ons like loafers or flats... let boys and girls companion with Femizee. Growing together!']",Femizee,B01CPE2KLU,https://images-na.ssl-images-amazon.com/images/I/81qbiv%2BJIwL._AC_UY500_.jpg,5.0,3.0,"['school', '------16', 'material', 'size------------us', '------------toddler', 'princess', 'comfortable', 'mary', 'kid', '--17.5', 'length', 'holiday', 'loop', 'width', 'occasion', 'style', 'lining', 'padded', '------12.5', 'children', 'bows', 'femizee', 'durable', 'footbed', 'shoes.it', 'wear', 'athletic', 'oxfords', 'companion', 'pair', 'soles.very', 'toe', 'angel', 'girls', 'feet', 'genuine', 'd', 'upper', 'hook', 'flat', 'commit', 'size----------foot', 'round', 'product', 'cn', '--------14.5', 'fashion', '--------14', '------------little', 'ons', '------15', 'high', 'closure', '--------12', 'quality', 'jane', '-------16.5', 'great', 'outdoor', 'skid', 'selection', 'little', 'casual', 'boys', 'carry', 'cm', '--------15.5', 'dress', 'stylish', '----17', 'non', 'flats', 'cute', 'products', 'heel', 'leather', 'type', '--------13', 'breathable', 'shoes', 'shoes(toddler', 'loafers', 'summer', 'size', 'soft', 'day', '--------11.5']"
"Olympia Luggage Rolling Printed Shopper Tote, Black, One Size","['A polka dot print gives this functional shopper tote a fashionable look that can be rolled anywhere. The Olympia Rolling Shopper Tote bag is made from polyester fabric and features a two-tone polka dot print with solid accents, contrast trim, a retractable handle, and in-line skate wheels that make it easy to maneuver. Perfect for overnight trips and casual travel, this roller bag includes a top loading main compartment with a zipper closure, two top grab handles, and front and side mesh pockets that offer storage for small items or personal accessories that you need to keep within easy reach.', 'The perfect shopping companion, this rolling shopper tote makes transporting your items easy. Features a retractable pull handle with hideaway zippered enclosure and ball bearing inline skate wheels.', 'View larger', 'View larger', 'View larger', 'Reinforced recessed metal ball bearing in-line skate wheels for maximum travel mileage.', 'Locking Push-button retractable handle allows easy maneuver and its hide-away zipper pocket allows secured travel when needs to be checked in.', 'Convenient side pocket for easy access to water bottles, umbrellas, and more.']",Olympia,B0019CVHFK,https://images-na.ssl-images-amazon.com/images/I/61BKPx6db8L._AC_SX569_.jpg,5.0,4.0,"['polyester', 'rolling', 'travel', 'look', 'small', 'main', 'print', 'casual', 'items', 'metal', 'roller', 'contrast', 'easy', 'black', 'secured', 'grab', 'button', 'umbrellas', 'ball', 'storage', 'pull', 'solid', 'maximum', 'olympia', 'pockets', 'polka', 'view', 'hideaway', 'larger', 'skate', 'personal', 'perfect', 'pocket', 'companion', 'luggage', 'push', 'accessories', 'mileage', 'tote', 'dot', 'trim', 'handle', 'overnight', 'bag', 'wheels', 'compartment', 'handles', 'water', 'access', 'inline', 'zippered', 'mesh', 'closure', 'bottles', 'zipper', 'fabric', 'size', 'functional', 'trips', 'reach', 'convenient', 'shopper', 'maneuver', 'fashionable', 'tone', 'retractable', 'line', 'accents', 'shopping', 'enclosure']"
"5.11 Men's PERFORMANCE Short Sleeve Polo Tactical Shirt, Style 71049","['Made of 100% polyester, this performance polo shirt has a slight sheen and stays looking good day in and day out.\xa0 We’ve included all the features of our cotton Tactical Polo including mic clips, fully gusseted sleeves and pen pockets on the left sleeve.\xa0 The Performance Polo shirt fabric is moisture wicking which prevents the growth of odor causing bacteria. Made with our proprietary SmartWeave fabric, the Performance Polo Shirt resists snags and remains wrinkle free.\xa0You can attach your radio microphone to any of the three mic clips on the shoulders and chest placket.\xa0The Performance Polo Shirt has two pen pockets located on the left sleeve.\xa0The synthetic fabric of the Performance Polo Shirts resists stains, tears and snags.\xa0 The no roll collar has flexible stays which keep the collars from rolling at the edges.\xa0 The pen pockets are stitched to endure constant use and all seams are designed for both comfort and durability. 5.11 Tactical Series uses only melamine buttons on the Performance Polo Shirt. Melamine buttons don’t crack or break and can withstand the heat of an iron without melting.\xa0 The stitching and materials used in the construction of the Performance Polo Shirt are of the highest quality demanded by Law Enforcement, Fire and Military personnel. The 5.11 Performance Polo Shirts are the ultimate in comfort and fit.\xa0 We’ve added fully gusseted sleeves to give you full range of motion even when wearing your ballistic vest. Because the Performance Polo Shirt does not wrinkle, shrink or fade, it is an exceptional value.\xa0 Most polo shirts on the market can be worn only a few times before losing their professional look.\xa0 Our proprietary SmartWeave fabric keeps its slight sheen even after multiple washings and the fabric won’t snag or peel, giving it a long life.\xa0 The Performance Polo Shirt outlasts other polo shirts by such a great factor and is so reasonably priced; it just makes sense to wear the best.']",5.11,B0019MNPHS,https://images-na.ssl-images-amazon.com/images/I/61EslxL0nwL._AC_UX679_.jpg,5.0,4.0,"['heat', 'microphone', 'sense', 'look', 'constant', 'use', 'shirts', 'value', 'synthetic', 'tears', 'odor', 'stitching', 'proprietary', 'bacteria', 'comfort', 'fit', 'fabric', 'life', 'good', 'sleeves', 'series', 'fire', 'motion', 'snags', 'law', 'style', 'best', 'buttons', 'radio', 'ballistic', 'shirt', 'placket', 'stains', 'professional', 'pen', 'collar', 'mic', 'iron', 'polyester', 'chest', 'melting', 'collars', 'features', 'cotton', 'wicking', 'short', 'flexible', 'sleeve', 'melamine', 'construction', 'vest', 'clips', 'materials', 'left', 'edges', 'smartweave', 'tactical', 'factor', 'men', 'seams', 'quality', 'great', 'range', 'long', 'wrinkle', 'shoulders', 'slight', 'polo', 'stays', 'market', 'washings', 'multiple', 'ultimate', 'times', 'pockets', 'performance', 'free', 'growth', 'enforcement', 'durability', 'sheen', 'personnel', 'roll', 'exceptional', 'highest', 'day', 'moisture', 'military']"
Grunt Style Basic Men's T-Shirt,"['All Grunt Style items are covered by the ""Beer Guarantee"". What is the Beer Guarantee? It\'s their Too Easy return policy. Your Grunt Style shirts are covered for life. Including tears, holes, loose threads, beer stains, and even blood stains from defending the American Flag from terrorists. Need a different size? Just send it back to us including the size you need. As authorized retailers, we will honor Grunt Style\'s Beer Guarantee.']",Grunt Style,B00TCZIOM0,https://images-na.ssl-images-amazon.com/images/I/614SXbufCFL._AC_UX466_.jpg,5.0,3.0,"['items', 'beer', 'retailers', 'easy', 'style', 'shirts', 'grunt', 'blood', 'tears', 'return', 'terrorists', 'guarantee', 'different', 'basic', 'threads', 'holes', 'flag', 'size', 'loose', 'stains', 'men', 'life', 'policy', 'american', 't']"
Psiroy 925 Sterling Silver Created Blue Sapphire Filled Promise Ring,"[""Gorgeous 925 sterling silver plated women's rings.High quality created gemstones, sparkles and shining.Great workmanship, comfortable to wear.Simple and elegant, this ring will captivate anyone who witnesses it.""]",Psiroy,B01568Z8RK,https://images-na.ssl-images-amazon.com/images/I/61eSMdc3VnL._AC_UX569_.jpg,5.0,5.0,"['silver', 'comfortable', 'workmanship', 'elegant', 'rings.high', 'ring', 'wear.simple', 'sterling', 'sapphire', 'psiroy', 'sparkles', 'promise', 'shining.great', 'gemstones', 'quality', 'gorgeous', 'blue', 'women']"
Women's 80Denier Semi Opaque Solid Color Footless Pantyhose Tights 2pair,"['* The size error may occur because of the item itself and the metric system of measurement. and the colors could be seen slightly different from its origins. because of computer monitor. Please check it out!', '', '', '', '']",STYLEGAGA,B00TDKH3LC,https://images-na.ssl-images-amazon.com/images/I/61Gg33jqwhL._AC_UY606_.jpg,5.0,3.0,"['system', 'measurement', 'origins', 'computer', 'item', 'metric', 'solid', 'footless', 'monitor', 'different', 'tights', 'opaque', 'color', 'pantyhose', 'error', 'colors', 'semi', 'size', 'women']"
"Owlette Classic Toddler PJ Masks Costume, Medium/3T-4T","['PJ Masksfollows the thrilling night time exploits of three young friends who transform into their dynamic super hero alter egos, Cat boy, Owlette and Gekko. Here comes Owlette, who is able to see in the dark using Owl Eyes and fly by using Super Owl Wings, which she can also use to launch gusts of air to send opponents flying backward. Now girls can imagine they are their favorite superhero Owlette in this very cool costume']",Disguise,B01BTYS9KS,https://images-na.ssl-images-amazon.com/images/I/81JuaKTLM%2BL._AC_SY679_.jpg,5.0,3.0,"['gekko', 'superhero', 'cool', 'masks', 'time', 'thrilling', 'boy', 'hero', 'young', 'favorite', 'night', 'pj', 'wings', 'exploits', 'super', 'costume', 'opponents', 'friends', 'dynamic', 'owl', 'egos', 'dark', 'cat', 'eyes', 'toddler', 'classic', 'air', 'girls', 'owlette', 'able', 'gusts', 't']"
Men's White Decorative Chron Dial Brown Pu Leather Strap Quartz Movement Wrist Watch,"[""Classic Business Casual Design: Combines quality, fashion and value. looks bold and very beautiful, comfort, and very stylish. It's a great gift for family or friends.  PU leather band and has multiple hole sizes to choose from.  Roman number time mark with the simplicity of business casual design, bring you back to the classic. Specification: Dial Color: White Dial Case Diameter: 1.89 inch / 48mm Dial Case Thickness: 0.55 inch / 1.4mm Band Color: Brown Band width: 0.82 inch / 21 mm Band Length: 9.88 inch / 251 mm Band Clasp Type: Buckle Watch Weight: 2.3oz / 65 g""]",SOMEN TUNGSTEN,B00CWVUVMC,https://images-na.ssl-images-amazon.com/images/I/71zWzJ1yyyL._AC_UY606_.jpg,5.0,3.0,"['inch', 'hole', 'dial', 'pu', 'thickness', 'casual', 'strap', 'time', 'simplicity', 'gift', 'width', 'wrist', 'decorative', 'value', 'multiple', 'beautiful', 'design', 'weight', 'mark', 'stylish', 'bold', 'family', 'oz', 'brown', 'fashion', 'clasp', 'buckle', 'friends', 'roman', 'movement', 'business', 'watch', 'chron', 'leather', 'type', 'number', 'color', 'mm', 'comfort', 'band', 'g', 'quartz', 'classic', 'specification', 'case', 'men', 'diameter', 'sizes', 'white', 'quality', 'great', 'length']"
